Cybin Price to Free Cash Flow Ratio Historical Data,Cybin Price to Free Cash Flow Ratio Historical Data,Cybin Price to Free Cash Flow Ratio Historical Data,Cybin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.37,,0.0
2024-09-30,8.89,$-5.45,0.0
2024-06-30,0.27,$-5.69,0.0
2024-03-31,0.41,$-6.16,0.0
2023-12-31,0.41,$-5.96,0.0
2023-09-30,0.53,$-5.87,0.0
2023-06-30,0.38,$-6.94,0.0
2023-03-31,0.39,$-7.38,0.0
2022-12-31,0.3,$-7.42,0.0
2022-09-30,0.48,$-8.26,0.0
2022-06-30,0.56,$-10.13,0.0
