Sono-Tek Price to Free Cash Flow Ratio Historical Data,Sono-Tek Price to Free Cash Flow Ratio Historical Data,Sono-Tek Price to Free Cash Flow Ratio Historical Data,Sono-Tek Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.58,,1118.75
2024-11-30,4.74,$0.00,0.0
2024-08-31,4.15,$-0.05,0.0
2024-05-31,4.48,$-0.00,0.0
2024-02-29,5.4,$0.02,230.77
2023-11-30,4.99,$0.08,60.34
2023-08-31,4.86,$0.10,46.42
2023-05-31,5.49,$0.07,80.85
2023-02-28,5.4,$0.05,110.65
2022-11-30,5.56,$0.07,83.28
2022-08-31,5.63,$0.06,95.5
2022-05-31,6.01,$0.15,39.67
