ThredUp Price to Free Cash Flow Ratio Historical Data,ThredUp Price to Free Cash Flow Ratio Historical Data,ThredUp Price to Free Cash Flow Ratio Historical Data,ThredUp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.44,,0.0
2024-12-31,1.39,$-0.02,0.0
2024-09-30,0.84,$-0.00,0.0
2024-06-30,1.7,$-0.01,0.0
2024-03-31,2.0,$-0.12,0.0
2023-12-31,2.25,$-0.22,0.0
2023-09-30,4.01,$-0.46,0.0
2023-06-30,2.44,$-0.69,0.0
2023-03-31,2.53,$-0.86,0.0
2022-12-31,1.31,$-0.96,0.0
2022-09-30,1.84,$-1.17,0.0
2022-06-30,2.5,$-1.05,0.0
2022-03-31,7.7,$-0.75,0.0
2021-12-31,12.76,$-0.71,0.0
