B Riley Financial Price to Free Cash Flow Ratio Historical Data,B Riley Financial Price to Free Cash Flow Ratio Historical Data,B Riley Financial Price to Free Cash Flow Ratio Historical Data,B Riley Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.27,,0.4
2024-09-30,5.25,$10.67,0.49
2024-06-30,17.64,$6.54,2.7
2024-03-31,20.83,$3.88,5.37
2023-12-31,20.22,$1.17,17.26
2023-09-30,37.75,$1.59,23.71
2023-06-30,41.52,$4.49,9.26
2023-03-31,24.89,$2.41,10.33
2022-12-31,29.18,$0.10,300.56
2022-09-30,37.15,$5.06,7.34
2022-06-30,34.64,$5.09,6.8
2022-03-31,56.17,$2.69,20.89
2021-12-31,70.2,$1.73,40.54
2021-09-30,44.33,$-6.90,0.0
2021-06-30,55.03,$-3.57,0.0
2021-03-31,39.46,$0.58,68.23
2020-12-31,29.16,$2.10,13.89
2020-09-30,16.32,$0.55,29.91
2020-06-30,13.99,$-0.58,0.0
2020-03-31,11.69,$-1.34,0.0
2019-12-31,15.66,$-1.10,0.0
2019-09-30,14.36,$0.56,25.83
2019-06-30,12.38,$3.94,3.14
2019-03-31,9.77,$-1.74,0.0
2018-12-31,8.27,$-4.02,0.0
2018-09-30,13.08,$-4.63,0.0
2018-06-30,12.84,$-7.61,0.0
2018-03-31,11.04,$-3.38,0.0
2017-12-31,10.16,$-3.37,0.0
2017-09-30,9.51,$1.13,8.43
2017-06-30,10.26,$0.03,360.1
2017-03-31,8.2,$2.41,3.41
2016-12-31,9.92,$4.33,2.29
2016-09-30,7.08,$0.69,10.21
2016-06-30,5.06,$2.50,2.02
