Liberty Energy Price to Free Cash Flow Ratio Historical Data,Liberty Energy Price to Free Cash Flow Ratio Historical Data,Liberty Energy Price to Free Cash Flow Ratio Historical Data,Liberty Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.57,,12.2
2024-12-31,19.89,$1.19,16.65
2024-09-30,19.0,$2.16,8.81
2024-06-30,20.72,$2.33,8.87
2024-03-31,20.55,$2.18,9.44
2023-12-31,17.93,$2.48,7.22
2023-09-30,18.24,$2.23,8.16
2023-06-30,13.13,$1.89,6.94
2023-03-31,12.53,$1.36,9.22
2022-12-31,15.61,$0.54,28.95
2022-09-30,12.33,$-0.10,0.0
2022-06-30,12.4,$-0.47,0.0
2022-03-31,14.41,$-0.65,0.0
2021-12-31,9.43,$-0.22,0.0
2021-09-30,11.79,$-0.26,0.0
2021-06-30,13.77,$-0.67,0.0
2021-03-31,10.98,$0.24,45.94
2020-12-31,10.02,$-0.17,0.0
2020-09-30,7.77,$-0.27,0.0
2020-06-30,5.33,$1.24,4.31
2020-03-31,2.62,$0.39,6.7
2019-12-31,10.71,$0.63,16.89
2019-09-30,10.37,$1.25,8.29
2019-06-30,15.42,$0.77,20.0
2019-03-31,14.61,$0.87,16.8
2018-12-31,12.3,$0.81,15.13
