Cathay General Bancorp Price to Free Cash Flow Ratio Historical Data,Cathay General Bancorp Price to Free Cash Flow Ratio Historical Data,Cathay General Bancorp Price to Free Cash Flow Ratio Historical Data,Cathay General Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.14,,9.59
2024-12-31,47.61,$4.50,10.58
2024-09-30,42.67,$4.21,10.14
2024-06-30,37.19,$4.53,8.21
2024-03-31,36.95,$4.77,7.74
2023-12-31,43.16,$5.23,8.25
2023-09-30,33.34,$5.68,5.87
2023-06-30,30.59,$6.79,4.51
2023-03-31,32.44,$6.75,4.81
2022-12-31,38.04,$6.22,6.12
2022-09-30,35.6,$6.09,5.84
2022-06-30,35.95,$4.46,8.06
2022-03-31,40.75,$4.20,9.7
2021-12-31,38.85,$4.21,9.23
2021-09-30,37.11,$4.07,9.11
2021-06-30,35.02,$3.89,9.0
2021-03-31,36.02,$3.90,9.25
2020-12-31,28.2,$3.94,7.16
2020-09-30,18.79,$4.22,4.46
2020-06-30,22.51,$5.32,4.23
2020-03-31,19.42,$5.45,3.56
2019-12-31,31.87,$5.33,5.98
2019-09-30,28.85,$5.16,5.6
2019-06-30,29.55,$4.37,6.77
2019-03-31,27.65,$4.07,6.79
2018-12-31,27.12,$4.04,6.71
2018-09-30,33.26,$4.46,7.45
2018-06-30,32.31,$3.31,9.76
2018-03-31,31.72,$3.47,9.13
2017-12-31,33.27,$3.10,10.72
2017-09-30,31.54,$2.29,13.75
2017-06-30,29.6,$3.36,8.81
2017-03-31,29.21,$3.05,9.58
2016-12-31,29.33,$2.89,10.15
2016-09-30,23.6,$2.76,8.54
2016-06-30,21.5,$2.21,9.73
2016-03-31,21.47,$1.95,11.02
2015-12-31,23.59,$2.14,11.04
2015-09-30,22.44,$2.04,10.99
2015-06-30,24.19,$2.07,11.66
2015-03-31,21.11,$1.95,10.84
2014-12-31,18.92,$1.81,10.43
2014-09-30,18.28,$1.52,12.06
2014-06-30,18.77,$1.27,14.82
2014-03-31,18.44,$1.44,12.83
2013-12-31,19.53,$1.38,14.19
2013-09-30,17.05,$1.58,10.77
2013-06-30,14.84,$2.87,5.17
2013-03-31,14.66,$2.89,5.08
2012-12-31,14.22,$2.05,6.94
2012-09-30,12.56,$4.18,3.01
2012-06-30,12.01,$1.30,9.25
2012-03-31,12.87,$1.53,8.42
2011-12-31,10.85,$2.18,4.98
2011-09-30,8.26,$-0.22,0.0
2011-06-30,11.89,$1.73,6.86
2011-03-31,12.36,$1.55,7.98
2010-12-31,12.1,$2.12,5.7
2010-09-30,8.61,$2.39,3.6
2010-06-30,7.47,$4.35,1.72
2010-03-31,8.4,$7.47,1.12
2009-12-31,5.45,$2.55,2.14
