ConnectOne Bancorp Price to Free Cash Flow Ratio Historical Data,ConnectOne Bancorp Price to Free Cash Flow Ratio Historical Data,ConnectOne Bancorp Price to Free Cash Flow Ratio Historical Data,ConnectOne Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.59,,15.6
2024-12-31,22.91,$1.51,15.15
2024-09-30,24.88,$1.33,18.69
2024-06-30,18.61,$2.42,7.68
2024-03-31,19.04,$2.38,8.0
2023-12-31,22.18,$2.19,10.11
2023-09-30,17.11,$3.62,4.73
2023-06-30,15.79,$3.52,4.48
2023-03-31,16.62,$3.62,4.59
2022-12-31,22.61,$4.41,5.13
2022-09-30,21.41,$3.54,6.04
2022-06-30,22.57,$3.79,5.96
2022-03-31,29.38,$4.13,7.12
2021-12-31,29.9,$5.00,5.98
2021-09-30,27.33,$3.34,8.18
2021-06-30,23.75,$3.11,7.64
2021-03-31,22.91,$2.90,7.91
2020-12-31,17.82,$2.02,8.84
2020-09-30,12.6,$2.41,5.23
2020-06-30,14.35,$2.59,5.54
2020-03-31,11.89,$2.45,4.86
2019-12-31,22.67,$1.68,13.52
2019-09-30,19.49,$2.47,7.91
2019-06-30,19.81,$2.04,9.69
2019-03-31,17.15,$2.48,6.92
2018-12-31,16.02,$2.74,5.85
2018-09-30,20.53,$3.96,5.18
2018-06-30,21.46,$4.20,5.11
2018-03-31,24.75,$3.87,6.4
2017-12-31,22.07,$3.99,5.54
2017-09-30,21.02,$2.45,8.57
2017-06-30,19.21,$2.24,8.56
2017-03-31,20.59,$2.08,9.91
2016-12-31,21.97,$1.55,14.21
2016-09-30,15.23,$1.59,9.61
2016-06-30,13.17,$1.59,8.3
2016-03-31,13.66,$1.36,10.08
2015-12-31,15.55,$1.40,11.12
2015-09-30,15.99,$1.68,9.53
2015-06-30,17.78,$0.97,18.28
2015-03-31,16.01,$0.89,17.98
2014-12-31,15.56,$0.99,15.75
2014-09-30,15.54,$0.57,27.06
2014-06-30,15.63,$1.34,11.66
2014-03-31,15.38,$1.22,12.63
2013-12-31,15.12,$1.35,11.17
2013-09-30,11.42,$1.45,7.89
2013-06-30,10.12,$1.33,7.62
2013-03-31,9.87,$1.42,6.95
2012-12-31,9.15,$1.24,7.4
2012-09-30,9.38,$1.01,9.24
2012-06-30,8.81,$1.12,7.84
2012-03-31,7.83,$1.10,7.1
2011-12-31,7.6,$1.09,6.98
2011-09-30,7.49,$1.11,6.74
2011-06-30,8.08,$0.97,8.36
2011-03-31,7.4,$1.02,7.23
2010-12-31,6.26,$1.15,5.43
2010-09-30,5.89,$0.81,7.24
2010-06-30,5.78,$-0.25,0.0
2010-03-31,6.31,$0.62,10.15
2009-12-31,6.75,$0.56,12.12
