USANA Health Sciences Price to Free Cash Flow Ratio Historical Data,USANA Health Sciences Price to Free Cash Flow Ratio Historical Data,USANA Health Sciences Price to Free Cash Flow Ratio Historical Data,USANA Health Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.31,,10.26
2024-12-31,35.89,$2.66,13.49
2024-09-30,37.92,$3.43,11.05
2024-06-30,45.24,$3.08,14.7
2024-03-31,48.5,$3.10,15.65
2023-12-31,53.6,$2.90,18.46
2023-09-30,58.61,$3.85,15.22
2023-06-30,63.04,$4.10,15.37
2023-03-31,62.9,$4.48,14.05
2022-12-31,53.2,$4.84,10.99
2022-09-30,56.05,$3.96,14.17
2022-06-30,72.36,$4.21,17.19
2022-03-31,79.45,$5.40,14.73
2021-12-31,101.2,$5.33,18.98
2021-09-30,92.2,$6.47,14.26
2021-06-30,102.43,$7.07,14.49
2021-03-31,97.6,$6.60,14.78
2020-12-31,77.1,$6.84,11.28
2020-09-30,73.65,$6.82,10.81
2020-06-30,73.43,$6.74,10.9
2020-03-31,57.76,$5.80,9.96
2019-12-31,78.55,$4.83,16.27
2019-09-30,68.39,$4.28,15.98
2019-06-30,79.43,$4.25,18.67
2019-03-31,83.87,$5.16,16.24
2018-12-31,117.73,$5.72,20.57
2018-09-30,120.55,$6.18,19.49
2018-06-30,115.3,$4.58,25.17
2018-03-31,85.9,$5.22,16.46
2017-12-31,74.05,$4.48,16.55
2017-09-30,57.7,$4.36,13.25
2017-06-30,64.1,$4.73,13.56
2017-03-31,57.6,$3.92,14.68
2016-12-31,61.2,$4.16,14.71
2016-09-30,69.18,$3.37,20.51
2016-06-30,55.72,$3.34,16.69
2016-03-31,60.71,$2.84,21.39
2015-12-31,63.88,$3.34,19.15
2015-09-30,67.02,$3.24,20.67
2015-06-30,68.33,$3.73,18.32
2015-03-31,55.56,$3.72,14.93
2014-12-31,51.3,$3.10,16.57
2014-09-30,36.83,$3.21,11.46
2014-06-30,39.07,$2.37,16.49
2014-03-31,37.67,$2.55,14.76
2013-12-31,37.79,$3.20,11.81
2013-09-30,43.4,$2.95,14.73
2013-06-30,36.19,$3.06,11.83
2013-03-31,24.17,$2.86,8.44
2012-12-31,16.47,$2.83,5.81
2012-09-30,23.24,$2.35,9.9
2012-06-30,20.56,$2.44,8.41
2012-03-31,18.67,$2.06,9.06
2011-12-31,15.19,$1.91,7.95
2011-09-30,13.75,$2.11,6.52
2011-06-30,15.64,$2.07,7.57
2011-03-31,17.26,$1.99,8.65
2010-12-31,21.73,$1.94,11.18
2010-09-30,20.18,$1.66,12.15
2010-06-30,18.27,$1.49,12.28
2010-03-31,15.71,$1.49,10.56
2009-12-31,15.95,$0.95,16.87
