Lavoro Price to Free Cash Flow Ratio Historical Data,Lavoro Price to Free Cash Flow Ratio Historical Data,Lavoro Price to Free Cash Flow Ratio Historical Data,Lavoro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.53,,72.85
2024-09-30,3.77,$0.05,77.89
2024-06-30,5.43,$0.12,45.14
2024-03-31,6.68,$-0.27,0.0
2023-12-31,8.62,$-0.81,0.0
2023-09-30,6.65,$-1.07,0.0
2023-06-30,5.96,$-0.06,0.0
2023-03-31,5.77,$-0.83,0.0
2022-09-30,9.92,$-0.44,0.0
