Dominion Energy Price to Free Cash Flow Ratio Historical Data,Dominion Energy Price to Free Cash Flow Ratio Historical Data,Dominion Energy Price to Free Cash Flow Ratio Historical Data,Dominion Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,54.98,,0.0
2024-12-31,53.86,$-8.55,0.0
2024-09-30,57.14,$-7.16,0.0
2024-06-30,47.88,$-5.82,0.0
2024-03-31,48.06,$-0.04,0.0
2023-12-31,45.29,$-4.35,0.0
2023-09-30,42.42,$-3.99,0.0
2023-06-30,48.52,$-4.61,0.0
2023-03-31,51.67,$-4.27,0.0
2022-12-31,55.99,$-4.72,0.0
2022-09-30,62.42,$-4.73,0.0
2022-06-30,71.5,$-3.94,0.0
2022-03-31,75.52,$-3.13,0.0
2021-12-31,69.25,$-2.38,0.0
2021-09-30,63.81,$-2.18,0.0
2021-06-30,63.78,$-1.74,0.0
2021-03-31,65.31,$-1.00,0.0
2020-12-31,64.07,$-0.95,0.0
2020-09-30,66.71,$0.13,526.08
2020-06-30,67.8,$0.29,233.96
2020-03-31,59.63,$0.27,222.68
2019-12-31,67.63,$0.28,244.25
2019-09-30,65.44,$0.51,129.0
2019-06-30,61.7,$0.46,133.39
2019-03-31,60.45,$0.81,74.88
2018-12-31,55.66,$0.79,70.24
2018-09-30,54.14,$0.04,1317.22
2018-06-30,51.92,$-0.38,0.0
2018-03-31,50.69,$-1.26,0.0
2017-12-31,60.24,$-1.58,0.0
2017-09-30,56.65,$-2.00,0.0
2017-06-30,55.9,$-1.92,0.0
2017-03-31,56.06,$-2.74,0.0
2016-12-31,54.81,$-3.13,0.0
2016-09-30,52.64,$-3.39,0.0
2016-06-30,54.72,$-3.33,0.0
2016-03-31,52.24,$-2.56,0.0
2015-12-31,46.56,$-1.85,0.0
2015-09-30,47.99,$-1.28,0.0
2015-06-30,45.18,$-2.00,0.0
2015-03-31,47.45,$-2.43,0.0
2014-12-31,51.03,$-3.26,0.0
2014-09-30,45.48,$-3.36,0.0
2014-06-30,46.67,$-2.45,0.0
2014-03-31,45.92,$-1.98,0.0
2013-12-31,41.49,$-1.09,0.0
2013-09-30,39.72,$-1.03,0.0
2013-06-30,35.78,$-1.03,0.0
2013-03-31,36.26,$-0.88,0.0
2012-12-31,31.96,$-0.01,0.0
2012-09-30,32.32,$0.22,144.88
2012-06-30,32.65,$0.21,159.24
2012-03-31,30.65,$-0.22,0.0
2011-12-31,31.44,$-1.16,0.0
2011-09-30,29.78,$-2.02,0.0
2011-06-30,28.04,$-2.89,0.0
2011-03-31,25.7,$-3.77,0.0
2010-12-31,24.29,$-2.71,0.0
2010-09-30,24.56,$-1.32,0.0
2010-06-30,21.56,$-0.70,0.0
2010-03-31,22.61,$0.06,403.1
2009-12-31,21.16,$-0.09,0.0
