MacroGenics Price to Free Cash Flow Ratio Historical Data,MacroGenics Price to Free Cash Flow Ratio Historical Data,MacroGenics Price to Free Cash Flow Ratio Historical Data,MacroGenics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.1,,0.0
2024-09-30,3.29,$-0.99,0.0
2024-06-30,4.25,$-2.52,0.0
2024-03-31,14.72,$-1.83,0.0
2023-12-31,9.62,$-1.29,0.0
2023-09-30,4.66,$-0.35,0.0
2023-06-30,5.35,$0.06,94.52
2023-03-31,7.17,$-0.72,0.0
2022-12-31,6.71,$-1.47,0.0
2022-09-30,3.46,$-2.90,0.0
2022-06-30,2.95,$-2.99,0.0
2022-03-31,8.81,$-2.95,0.0
2021-12-31,16.05,$-2.50,0.0
2021-09-30,20.94,$-1.79,0.0
2021-06-30,26.86,$-1.89,0.0
2021-03-31,31.85,$-1.84,0.0
2020-12-31,22.86,$-2.25,0.0
2020-09-30,25.19,$-2.85,0.0
2020-06-30,27.92,$-2.87,0.0
2020-03-31,5.82,$-3.11,0.0
2019-12-31,10.88,$-2.88,0.0
2019-09-30,12.76,$-2.83,0.0
2019-06-30,16.97,$-3.43,0.0
2019-03-31,17.98,$-3.81,0.0
2018-12-31,12.7,$-4.35,0.0
2018-09-30,21.44,$-0.82,0.0
2018-06-30,20.65,$-0.91,0.0
2018-03-31,25.16,$-0.60,0.0
2017-12-31,19.0,$-0.42,0.0
2017-09-30,18.48,$-4.01,0.0
2017-06-30,17.51,$-1.64,0.0
2017-03-31,18.6,$-1.63,0.0
2016-12-31,20.44,$-1.59,0.0
2016-09-30,29.91,$-1.58,0.0
2016-06-30,26.99,$-3.24,0.0
2016-03-31,18.75,$-3.07,0.0
2015-12-31,30.97,$-0.72,0.0
2015-09-30,21.42,$-0.68,0.0
2015-06-30,37.97,$-0.87,0.0
2015-03-31,31.37,$-0.19,0.0
2014-12-31,35.07,$-1.33,0.0
2014-09-30,20.9,$-3.02,0.0
