Prenetics Global Price to Free Cash Flow Ratio Historical Data,Prenetics Global Price to Free Cash Flow Ratio Historical Data,Prenetics Global Price to Free Cash Flow Ratio Historical Data,Prenetics Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.3,,0.0
2024-09-30,4.0,$-1.25,0.0
2024-06-30,5.92,$-1.25,0.0
2024-03-31,4.05,$-1.25,0.0
2023-12-31,5.91,$-1.25,0.0
2023-09-30,0.49,$1.90,0.26
2023-06-30,0.89,$1.90,0.47
2023-03-31,0.96,$1.90,0.51
2022-12-31,2.0,$1.90,1.05
2022-09-30,3.78,0,0.0
2022-06-30,4.04,0,0.0
