Ryvyl Price to Free Cash Flow Ratio Historical Data,Ryvyl Price to Free Cash Flow Ratio Historical Data,Ryvyl Price to Free Cash Flow Ratio Historical Data,Ryvyl Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.15,,0.28
2024-09-30,1.32,$4.18,0.32
2024-06-30,1.45,$2.63,0.55
2024-03-31,2.91,$6.25,0.47
2023-12-31,4.16,$6.79,0.61
2023-09-30,3.02,$5.81,0.52
2023-06-30,0.75,$1.71,0.44
2023-03-31,0.41,$4.62,0.09
2022-12-31,0.46,$-2.09,0.0
2022-09-30,0.98,$-6.00,0.0
2022-06-30,1.05,$-1.59,0.0
2022-03-31,4.22,$-7.06,0.0
2021-12-31,4.2,$-6.71,0.0
