XChange TEC.INC Price to Free Cash Flow Ratio Historical Data,XChange TEC.INC Price to Free Cash Flow Ratio Historical Data,XChange TEC.INC Price to Free Cash Flow Ratio Historical Data,XChange TEC.INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.84,,inf
2024-09-30,5.81,0.0,0.0
2023-09-30,1.8,0.0,0.0
2023-03-31,5.85,0.0,0.0
2022-09-30,14.77,0.0,0.0
2022-03-31,11.92,0.0,0.0
