MoneyLion Price to Free Cash Flow Ratio Historical Data,MoneyLion Price to Free Cash Flow Ratio Historical Data,MoneyLion Price to Free Cash Flow Ratio Historical Data,MoneyLion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,88.28,,5.53
2024-12-31,86.01,$15.97,5.39
2024-09-30,41.55,$16.72,2.49
2024-06-30,73.54,$14.02,5.25
2024-03-31,71.32,$13.95,5.11
2023-12-31,62.69,$11.48,5.46
2023-09-30,21.64,$8.16,2.65
2023-06-30,12.01,$4.73,2.54
2023-03-31,0.57,$0.74,0.77
2022-12-31,0.62,$-0.69,0.0
2022-09-30,0.89,$-4.47,0.0
2022-06-30,1.32,$-7.12,0.0
2022-03-31,2.51,$-6.05,0.0
2021-12-31,4.03,$-2.80,0.0
2021-09-30,6.77,$-0.58,0.0
2021-06-30,9.95,$2.73,3.64
