Vor Biopharma Price to Free Cash Flow Ratio Historical Data,Vor Biopharma Price to Free Cash Flow Ratio Historical Data,Vor Biopharma Price to Free Cash Flow Ratio Historical Data,Vor Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.85,,inf
2024-09-30,0.7,0.0,0.0
2024-06-30,1.0,0.0,0.0
2024-03-31,2.37,0.0,0.0
2023-12-31,2.25,0.0,0.0
2023-09-30,2.12,0.0,0.0
2023-06-30,3.09,0.0,0.0
2023-03-31,5.38,0.0,0.0
2022-12-31,6.65,0.0,0.0
2022-09-30,3.98,0.0,0.0
2022-06-30,4.97,0.0,0.0
2022-03-31,6.04,0.0,0.0
2021-12-31,11.62,0.0,0.0
