Carpenter Technology Price to Free Cash Flow Ratio Historical Data,Carpenter Technology Price to Free Cash Flow Ratio Historical Data,Carpenter Technology Price to Free Cash Flow Ratio Historical Data,Carpenter Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,186.18,,36.59
2024-12-31,169.71,$5.09,33.35
2024-09-30,159.38,$4.11,38.74
2024-06-30,109.29,$3.56,30.71
2024-03-31,71.05,$3.66,19.43
2023-12-31,70.22,$2.11,33.28
2023-09-30,66.44,$0.21,312.94
2023-06-30,55.29,$-1.37,0.0
2023-03-31,43.92,$-2.77,0.0
2022-12-31,36.1,$-2.25,0.0
2022-09-30,30.26,$-2.33,0.0
2022-06-30,26.98,$-1.71,0.0
2022-03-31,40.36,$-2.16,0.0
2021-12-31,27.87,$-2.67,0.0
2021-09-30,31.06,$0.73,42.55
2021-06-30,37.93,$3.13,12.12
2021-03-31,38.61,$4.31,8.97
2020-12-31,27.15,$5.08,5.35
2020-09-30,16.74,$3.36,4.99
2020-06-30,22.18,$1.26,17.64
2020-03-31,17.65,$1.60,11.01
2019-12-31,44.83,$0.33,135.06
2019-09-30,46.34,$0.79,58.61
2019-06-30,43.04,$1.09,39.43
2019-03-31,40.96,$-0.17,0.0
2018-12-31,31.68,$1.69,18.76
2018-09-30,52.24,$1.70,30.73
2018-06-30,46.43,$1.60,29.04
2018-03-31,38.84,$1.54,25.14
2017-12-31,44.71,$1.42,31.52
2017-09-30,41.96,$0.44,95.26
2017-06-30,32.55,$0.73,44.69
2017-03-31,32.29,$1.31,24.66
2016-12-31,31.18,$1.44,21.66
2016-09-30,35.41,$2.68,13.2
2016-06-30,28.12,$3.39,8.28
2016-03-31,29.08,$3.72,7.82
2015-12-31,25.56,$4.45,5.74
2015-09-30,24.99,$3.18,7.86
2015-06-30,32.32,$2.13,15.17
2015-03-31,32.35,$0.76,42.77
2014-12-31,40.8,$-1.27,0.0
2014-09-30,37.26,$-1.90,0.0
2014-06-30,52.03,$-2.04,0.0
2014-03-31,54.17,$-1.53,0.0
2013-12-31,50.86,$-2.37,0.0
2013-09-30,47.38,$-1.47,0.0
2013-06-30,36.63,$-2.27,0.0
2013-03-31,39.91,$-2.59,0.0
2012-12-31,41.66,$-0.80,0.0
2012-09-30,42.07,$0.28,150.58
2012-06-30,38.33,$-0.22,0.0
2012-03-31,41.71,$0.41,101.2
2011-12-31,40.98,$-0.44,0.0
2011-09-30,35.6,$-1.70,0.0
2011-06-30,45.58,$-0.32,0.0
2011-03-31,33.63,$-1.26,0.0
2010-12-31,31.55,$-1.13,0.0
2010-09-30,26.3,$0.17,155.87
2010-06-30,25.46,$1.62,15.7
2010-03-31,28.26,$2.72,10.38
2009-12-31,20.67,$1.58,13.05
