Signet Jewelers Price to Free Cash Flow Ratio Historical Data,Signet Jewelers Price to Free Cash Flow Ratio Historical Data,Signet Jewelers Price to Free Cash Flow Ratio Historical Data,Signet Jewelers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,56.3,,5.67
2025-01-31,59.23,$9.93,5.96
2024-10-31,91.68,$7.46,12.29
2024-07-31,83.87,$9.77,8.59
2024-04-30,97.38,$11.24,8.67
2024-01-31,98.54,$7.80,12.63
2023-10-31,69.01,$10.35,6.67
2023-07-31,79.28,$9.01,8.8
2023-04-30,72.25,$7.32,9.87
2023-01-31,75.19,$11.62,6.47
2022-10-31,63.7,$5.90,10.79
2022-07-31,59.34,$7.99,7.42
2022-04-30,68.11,$12.28,5.55
2022-01-31,83.34,$17.90,4.66
2021-10-31,86.1,$21.01,4.1
2021-07-31,61.99,$29.08,2.13
2021-04-30,57.41,$27.51,2.09
2021-01-31,39.03,$24.79,1.57
2020-10-31,21.41,$18.35,1.17
2020-07-31,10.32,$6.89,1.5
2020-04-30,9.67,$6.24,1.55
2020-01-31,23.36,$8.11,2.88
2019-10-31,15.2,$6.39,2.38
2019-07-31,16.45,$7.01,2.35
2019-04-30,20.68,$11.95,1.73
2019-01-31,21.73,$10.42,2.09
2018-10-31,48.94,$6.88,7.11
2018-07-31,50.1,$27.25,1.84
2018-04-30,33.4,$24.42,1.37
2018-01-31,45.18,$24.40,1.85
2017-10-31,56.0,$24.87,2.25
2017-07-31,51.99,$6.84,7.61
2017-04-30,55.69,$4.27,13.03
2017-01-31,65.39,$5.22,12.53
2016-10-31,68.2,$6.00,11.37
2016-07-31,73.55,$4.02,18.3
2016-04-30,90.55,$3.37,26.84
2016-01-31,96.54,$2.72,35.49
2015-10-31,125.37,$2.12,59.15
2015-07-31,100.54,$1.01,99.52
2015-04-30,111.04,$0.52,214.33
2015-01-31,100.1,$0.78,127.84
2014-10-31,99.05,$0.26,379.78
2014-07-31,83.88,$2.14,39.27
2014-04-30,83.35,$1.32,63.05
2014-01-31,65.33,$1.03,63.67
2013-10-31,61.19,$0.56,109.18
2013-07-31,59.8,$1.47,40.7
2013-04-30,55.98,$2.25,24.92
2013-01-31,50.97,$2.16,23.65
2012-10-31,42.08,$2.14,19.67
2012-07-31,35.62,$1.60,22.33
2012-04-30,39.44,$1.73,22.81
2012-01-31,36.77,$2.61,14.07
2011-10-31,34.7,$1.74,19.96
2011-07-31,34.41,$2.02,17.01
2011-04-30,35.14,$2.08,16.92
2011-01-31,34.12,$3.10,11.02
2010-10-31,28.25,$3.53,8.01
2010-07-31,23.91,$5.07,4.72
2010-04-30,25.72,$5.35,4.8
2010-01-31,21.97,$5.51,3.99
2009-10-31,20.25,$4.52,4.48
