Stratasys Price to Free Cash Flow Ratio Historical Data,Stratasys Price to Free Cash Flow Ratio Historical Data,Stratasys Price to Free Cash Flow Ratio Historical Data,Stratasys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.46,,0.0
2024-12-31,8.89,$-0.04,0.0
2024-09-30,8.31,$-0.27,0.0
2024-06-30,8.39,$-0.40,0.0
2024-03-31,11.62,$-0.70,0.0
2023-12-31,14.28,$-1.10,0.0
2023-09-30,13.61,$-1.22,0.0
2023-06-30,17.76,$-1.34,0.0
2023-03-31,16.53,$-1.36,0.0
2022-12-31,11.86,$-1.34,0.0
2022-09-30,14.41,$-1.09,0.0
2022-06-30,18.74,$-0.79,0.0
2022-03-31,25.39,$-0.45,0.0
2021-12-31,24.49,$0.17,143.38
2021-09-30,21.52,$0.54,40.12
2021-06-30,25.86,$0.49,53.05
2021-03-31,25.9,$0.24,106.19
2020-12-31,20.72,$0.02,1328.21
2020-09-30,12.47,$-0.46,0.0
2020-06-30,15.86,$-0.66,0.0
2020-03-31,15.95,$-0.50,0.0
2019-12-31,20.23,$-0.62,0.0
2019-09-30,21.31,$-0.18,0.0
2019-06-30,29.37,$0.06,471.43
2019-03-31,23.82,$0.37,64.62
2018-12-31,18.01,$0.83,21.77
2018-09-30,23.11,$0.84,27.67
2018-06-30,19.14,$0.86,22.17
2018-03-31,20.18,$0.81,24.93
2017-12-31,19.96,$0.74,26.82
2017-09-30,23.12,$0.71,32.6
2017-06-30,23.31,$0.46,50.49
2017-03-31,20.49,$0.23,90.18
2016-12-31,16.54,$0.32,51.62
2016-09-30,24.09,$0.05,511.46
2016-06-30,22.89,$-0.64,0.0
2016-03-31,25.92,$-1.39,0.0
2015-12-31,23.48,$-2.06,0.0
2015-09-30,26.49,$-1.13,0.0
2015-06-30,34.93,$-1.09,0.0
2015-03-31,52.78,$-0.21,0.0
2014-12-31,83.11,0,0.0
2014-09-30,120.78,$-0.89,0.0
2014-06-30,113.63,0,0.0
2014-03-31,106.09,0,0.0
2013-12-31,134.7,0,0.0
2013-09-30,101.26,$-0.21,0.0
2013-06-30,83.74,$-0.70,0.0
2013-03-31,74.22,$-0.65,0.0
2012-12-31,80.15,$-0.44,0.0
2012-09-30,54.4,$0.05,1030.3
2012-06-30,49.5,$0.70,70.57
2012-03-31,36.52,$0.54,67.6
2011-12-31,30.41,$0.45,68.14
2011-09-30,18.54,$0.24,78.33
2011-06-30,33.7,$0.60,55.91
2011-03-31,47.0,$0.69,68.29
2010-12-31,32.64,$0.67,48.75
2010-09-30,27.72,$1.09,25.35
2010-06-30,24.56,$1.01,24.42
2010-03-31,24.43,$1.12,21.73
2009-12-31,17.24,$1.15,15.03
