DTE Energy Price to Free Cash Flow Ratio Historical Data,DTE Energy Price to Free Cash Flow Ratio Historical Data,DTE Energy Price to Free Cash Flow Ratio Historical Data,DTE Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,136.94,,0.0
2024-12-31,120.75,$-3.76,0.0
2024-09-30,127.27,$-4.30,0.0
2024-06-30,109.14,$-4.07,0.0
2024-03-31,109.25,$-3.43,0.0
2023-12-31,106.41,$-3.45,0.0
2023-09-30,94.94,$-4.07,0.0
2023-06-30,104.28,$-5.56,0.0
2023-03-31,102.96,$-7.32,0.0
2022-12-31,109.5,$-7.03,0.0
2022-09-30,106.31,$-7.02,0.0
2022-06-30,116.33,$-5.88,0.0
2022-03-31,120.43,$-5.40,0.0
2021-12-31,108.13,$-3.62,0.0
2021-09-30,100.28,$-1.92,0.0
2021-06-30,115.51,$1.22,94.96
2021-03-31,116.72,$1.88,61.95
2020-12-31,105.53,$-0.76,0.0
2020-09-30,99.11,$-1.00,0.0
2020-06-30,91.79,$-3.47,0.0
2020-03-31,80.31,$-2.98,0.0
2019-12-31,108.69,$-1.88,0.0
2019-09-30,110.38,$-3.06,0.0
2019-06-30,105.39,$-1.86,0.0
2019-03-31,102.05,$-1.45,0.0
2018-12-31,89.56,$-0.18,0.0
2018-09-30,87.91,$0.85,103.13
2018-06-30,82.82,$-0.04,0.0
2018-03-31,82.69,$-0.31,0.0
2017-12-31,85.95,$-0.74,0.0
2017-09-30,83.65,$-2.27,0.0
2017-06-30,81.82,$-1.27,0.0
2017-03-31,78.39,$-0.27,0.0
2016-12-31,75.01,$0.22,344.24
2016-09-30,70.72,$1.29,54.77
2016-06-30,74.22,$0.04,1725.99
2016-03-31,67.36,$-0.79,0.0
2015-12-31,59.1,$-0.58,0.0
2015-09-30,58.7,$0.54,108.73
2015-06-30,54.01,$0.63,85.61
2015-03-31,57.85,$0.88,65.63
2014-12-31,61.38,$-0.90,0.0
2014-09-30,53.62,$-1.22,0.0
2014-06-30,54.4,$-0.21,0.0
2014-03-31,51.44,$0.74,69.23
2013-12-31,45.55,$1.79,25.39
2013-09-30,44.82,$1.49,30.15
2013-06-30,45.07,$2.67,16.91
2013-03-31,45.52,$2.34,19.43
2012-12-31,39.63,$2.48,15.96
2012-09-30,39.16,$3.49,11.23
2012-06-30,38.36,$2.52,15.24
2012-03-31,35.24,$1.91,18.43
2011-12-31,34.49,$3.19,10.82
2011-09-30,30.7,$3.16,9.71
2011-06-30,30.97,$3.36,9.21
2011-03-31,29.95,$3.75,7.99
2010-12-31,27.4,$4.63,5.92
2010-09-30,27.43,$4.12,6.65
2010-06-30,26.92,$4.80,5.61
2010-03-31,26.04,$5.52,4.72
2009-12-31,25.15,$5.29,4.76
