Rekor Systems Price to Free Cash Flow Ratio Historical Data,Rekor Systems Price to Free Cash Flow Ratio Historical Data,Rekor Systems Price to Free Cash Flow Ratio Historical Data,Rekor Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.01,,0.0
2024-09-30,1.18,$-0.43,0.0
2024-06-30,1.55,$-0.43,0.0
2024-03-31,2.29,$-0.45,0.0
2023-12-31,3.33,$-0.54,0.0
2023-09-30,2.82,$-0.67,0.0
2023-06-30,1.78,$-0.67,0.0
2023-03-31,1.25,$-0.75,0.0
2022-12-31,1.2,$-0.88,0.0
2022-09-30,1.0,$-0.88,0.0
2022-06-30,1.76,$-0.94,0.0
2022-03-31,4.56,$-0.81,0.0
2021-12-31,6.55,$-0.59,0.0
2021-09-30,11.49,$-0.54,0.0
2021-06-30,10.16,$-0.39,0.0
2021-03-31,19.99,$-0.67,0.0
2020-12-31,8.07,$-0.67,0.0
2020-09-30,5.76,$-1.06,0.0
2020-06-30,4.0,$-1.35,0.0
2020-03-31,3.7,$-1.08,0.0
2019-12-31,3.82,$-1.10,0.0
2019-09-30,2.16,$-0.55,0.0
2019-06-30,1.87,$-0.26,0.0
2019-03-31,0.7,$-0.35,0.0
2018-12-31,0.65,$-0.20,0.0
