RumbleON Price to Free Cash Flow Ratio Historical Data,RumbleON Price to Free Cash Flow Ratio Historical Data,RumbleON Price to Free Cash Flow Ratio Historical Data,RumbleON Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.46,,1.21
2024-12-31,5.43,$2.87,1.89
2024-09-30,4.79,$0.51,9.36
2024-06-30,4.1,$-1.46,0.0
2024-03-31,6.46,$-3.35,0.0
2023-12-31,8.14,$-2.97,0.0
2023-09-30,6.13,$-2.76,0.0
2023-06-30,12.36,$-5.71,0.0
2023-03-31,6.06,$-4.76,0.0
2022-12-31,6.47,$-3.30,0.0
2022-09-30,16.92,$-2.19,0.0
2022-06-30,14.71,$1.66,8.86
2022-03-31,34.21,$2.06,16.64
2021-12-31,41.52,$-5.47,0.0
2021-09-30,38.98,$-9.25,0.0
2021-06-30,40.47,$2.19,18.52
2021-03-31,43.85,$11.75,3.73
2020-12-31,30.2,$7.79,3.88
2020-09-30,26.65,$-1.75,0.0
2020-06-30,9.67,$-5.35,0.0
2020-03-31,4.18,$-38.90,0.0
2019-12-31,16.51,$-35.61,0.0
2019-09-30,57.8,$-33.80,0.0
2019-06-30,89.6,$-48.07,0.0
2019-03-31,98.8,$-33.40,0.0
2018-12-31,107.6,$-31.62,0.0
2018-09-30,209.6,$-40.70,0.0
