Dave Price to Free Cash Flow Ratio Historical Data,Dave Price to Free Cash Flow Ratio Historical Data,Dave Price to Free Cash Flow Ratio Historical Data,Dave Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,87.79,,10.32
2024-12-31,86.92,$8.51,10.22
2024-09-30,39.96,$6.72,5.95
2024-06-30,30.3,$5.41,5.6
2024-03-31,37.14,$4.15,8.94
2023-12-31,8.39,$2.11,3.98
2023-09-30,6.2,$0.38,16.15
2023-06-30,5.33,$-2.14,0.0
2023-03-31,6.06,$-4.12,0.0
2022-12-31,0.29,$-4.68,0.0
2022-09-30,0.36,$-5.71,0.0
2022-06-30,0.69,$-3.60,0.0
2022-03-31,7.15,$-2.98,0.0
