Network-1 Technologies Price to Free Cash Flow Ratio Historical Data,Network-1 Technologies Price to Free Cash Flow Ratio Historical Data,Network-1 Technologies Price to Free Cash Flow Ratio Historical Data,Network-1 Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.37,,0.0
2024-12-31,1.33,$-0.05,0.0
2024-09-30,1.4,$0.02,88.05
2024-06-30,1.72,$0.01,0.0
2024-03-31,2.0,$0.00,0.0
2023-12-31,2.06,$0.01,148.37
2023-09-30,2.21,$-0.04,0.0
2023-06-30,2.14,$-0.06,0.0
2023-03-31,1.99,$-0.21,0.0
2022-12-31,1.99,$-0.23,0.0
2022-09-30,2.04,$-0.23,0.0
2022-06-30,2.13,$0.13,16.51
2022-03-31,2.31,$0.82,2.82
2021-12-31,2.45,$0.79,3.09
2021-09-30,2.58,$0.78,3.31
2021-06-30,2.79,$0.54,5.18
2021-03-31,2.67,$-0.01,0.0
2020-12-31,3.11,$-0.02,0.0
2020-09-30,2.23,$0.04,60.85
2020-06-30,1.78,$-0.06,0.0
2020-03-31,1.8,$-0.03,0.0
2019-12-31,1.75,$-0.03,0.0
2019-09-30,1.88,$-0.03,0.0
2019-06-30,1.97,$-0.09,0.0
2019-03-31,2.05,$-0.40,0.0
2018-12-31,1.72,$0.32,5.4
2018-09-30,2.09,$0.40,5.21
2018-06-30,2.35,$0.53,4.45
2018-03-31,2.01,$1.02,1.97
2017-12-31,1.79,$0.26,6.97
2017-09-30,2.87,$-0.12,0.0
2017-06-30,3.13,$0.68,4.57
2017-03-31,3.57,$1.09,3.27
2016-12-31,2.47,$1.20,2.05
2016-09-30,1.98,$1.59,1.25
2016-06-30,1.93,$0.77,2.5
2016-03-31,1.39,$0.31,4.43
2015-12-31,1.52,$0.24,6.33
2015-09-30,1.47,$0.36,4.13
