Austin Gold Price to Free Cash Flow Ratio Historical Data,Austin Gold Price to Free Cash Flow Ratio Historical Data,Austin Gold Price to Free Cash Flow Ratio Historical Data,Austin Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.52,,0.0
2024-09-30,1.14,$-0.37,0.0
2024-06-30,1.2,$-0.35,0.0
2024-03-31,1.21,$-0.30,0.0
2023-12-31,0.74,$-0.24,0.0
2023-09-30,0.75,$-0.26,0.0
2023-06-30,0.89,$-0.24,0.0
2023-03-31,1.14,$-0.27,0.0
