Aura Biosciences Price to Free Cash Flow Ratio Historical Data,Aura Biosciences Price to Free Cash Flow Ratio Historical Data,Aura Biosciences Price to Free Cash Flow Ratio Historical Data,Aura Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.42,,0.0
2024-09-30,8.91,$-1.55,0.0
2024-06-30,7.56,$-1.63,0.0
2024-03-31,7.85,$-1.69,0.0
2023-12-31,8.86,$-1.63,0.0
2023-09-30,8.97,$-1.81,0.0
2023-06-30,12.35,$-1.78,0.0
2023-03-31,9.28,$-1.76,0.0
2022-12-31,10.5,$-1.86,0.0
2022-09-30,18.12,$-7.97,0.0
