OUTFRONT Media Price to Free Cash Flow Ratio Historical Data,OUTFRONT Media Price to Free Cash Flow Ratio Historical Data,OUTFRONT Media Price to Free Cash Flow Ratio Historical Data,OUTFRONT Media Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.27,,12.57
2024-12-31,17.74,$1.29,13.7
2024-09-30,18.08,$1.21,14.91
2024-06-30,13.81,$1.12,12.3
2024-03-31,16.21,$1.20,13.54
2023-12-31,13.2,$1.04,12.7
2023-09-30,9.32,$0.90,10.38
2023-06-30,14.14,$0.94,15.08
2023-03-31,14.29,$0.93,15.3
2022-12-31,14.35,$1.04,13.79
2022-09-30,12.93,$0.82,15.75
2022-06-30,14.19,$0.63,22.6
2022-03-31,23.45,$0.34,68.5
2021-12-31,21.87,$0.18,124.85
2021-09-30,20.47,$0.26,78.02
2021-06-30,19.44,$0.33,58.9
2021-03-31,17.66,$0.43,41.3
2020-12-31,15.83,$0.55,28.93
2020-09-30,11.77,$0.96,12.23
2020-06-30,11.46,$1.16,9.92
2020-03-31,10.91,$1.14,9.53
2019-12-31,21.37,$1.34,15.98
2019-09-30,21.83,$1.11,19.66
2019-06-30,20.0,$1.12,17.82
2019-03-31,17.89,$0.80,22.26
2018-12-31,13.63,$0.97,14.08
2018-09-30,14.76,$0.96,15.38
2018-06-30,14.13,$1.21,11.73
2018-03-31,13.37,$1.53,8.72
2017-12-31,16.25,$1.32,12.35
2017-09-30,17.37,$1.44,12.07
2017-06-30,15.68,$1.40,11.18
2017-03-31,17.73,$1.66,10.71
2016-12-31,16.38,$1.68,9.72
2016-09-30,15.37,$1.90,8.09
2016-06-30,15.47,$1.95,7.92
2016-03-31,13.31,$1.94,6.85
2015-12-31,13.55,$1.74,7.77
2015-09-30,12.7,$1.57,8.11
2015-06-30,15.19,$1.73,8.8
2015-03-31,17.78,$1.80,9.87
2014-12-31,15.73,$1.77,8.88
