Old Second Bancorp Price to Free Cash Flow Ratio Historical Data,Old Second Bancorp Price to Free Cash Flow Ratio Historical Data,Old Second Bancorp Price to Free Cash Flow Ratio Historical Data,Old Second Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.82,,6.36
2024-12-31,17.78,$2.65,6.72
2024-09-30,15.53,$2.72,5.72
2024-06-30,14.71,$3.47,4.24
2024-03-31,13.7,$2.60,5.26
2023-12-31,15.23,$2.39,6.37
2023-09-30,13.38,$2.65,5.04
2023-06-30,12.8,$1.70,7.52
2023-03-31,13.72,$3.08,4.46
2022-12-31,15.6,$2.35,6.63
2022-09-30,12.65,$0.78,16.29
2022-06-30,12.93,$0.86,15.02
2022-03-31,13.97,$0.47,29.95
2021-12-31,12.08,$0.94,12.79
2021-09-30,12.48,$1.97,6.34
2021-06-30,11.8,$0.91,13.01
2021-03-31,12.52,$0.97,12.92
2020-12-31,9.57,$0.73,13.08
2020-09-30,7.09,$0.90,7.89
2020-06-30,7.35,$0.96,7.66
2020-03-31,6.52,$1.45,4.5
2019-12-31,12.7,$1.59,8.0
2019-09-30,11.52,$1.64,7.02
2019-06-30,12.02,$2.13,5.65
2019-03-31,11.85,$1.86,6.37
2018-12-31,12.22,$1.75,6.99
2018-09-30,14.52,$1.55,9.39
2018-06-30,13.52,$0.95,14.21
2018-03-31,13.04,$1.28,10.19
2017-12-31,12.8,$1.20,10.66
2017-09-30,12.6,$1.23,10.24
2017-06-30,10.81,$1.74,6.22
2017-03-31,10.52,$0.96,10.93
2016-12-31,10.33,$0.85,12.19
2016-09-30,7.76,$0.72,10.8
2016-06-30,6.37,$0.69,9.19
2016-03-31,6.67,$0.66,10.07
2015-12-31,7.3,$0.67,10.91
2015-09-30,5.8,$0.71,8.21
2015-06-30,6.14,$0.65,9.38
2015-03-31,5.32,$0.19,27.67
2014-12-31,5.0,$-0.29,0.0
2014-09-30,4.48,$0.57,7.79
2014-06-30,4.63,$0.64,7.28
2014-03-31,4.28,$1.92,2.23
2013-12-31,4.3,$2.37,1.81
2013-09-30,5.3,$2.34,2.27
2013-06-30,5.14,$2.81,1.83
2013-03-31,2.96,$2.33,1.27
2012-12-31,1.14,$3.04,0.37
2012-09-30,1.34,$2.58,0.52
2012-06-30,1.21,$2.46,0.49
2012-03-31,1.71,$2.34,0.73
2011-12-31,1.21,$2.00,0.6
2011-09-30,1.17,$2.54,0.46
2011-06-30,0.84,$2.50,0.33
2011-03-31,0.93,$4.08,0.23
2010-12-31,1.58,$4.84,0.33
2010-09-30,1.29,$3.03,0.43
2010-06-30,1.86,$3.83,0.49
2010-03-31,6.11,$4.21,1.45
2009-12-31,6.38,$2.13,3.0
