Williams Price to Free Cash Flow Ratio Historical Data,Williams Price to Free Cash Flow Ratio Historical Data,Williams Price to Free Cash Flow Ratio Historical Data,Williams Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,59.75,,31.83
2024-12-31,54.12,$1.88,28.83
2024-09-30,45.26,$2.45,18.46
2024-06-30,41.69,$2.47,16.9
2024-03-31,38.23,$2.54,15.05
2023-12-31,33.72,$2.76,12.23
2023-09-30,32.21,$2.17,14.84
2023-06-30,30.79,$2.26,13.63
2023-03-31,27.76,$2.27,12.21
2022-12-31,30.12,$2.13,14.13
2022-09-30,25.88,$2.50,10.37
2022-06-30,27.84,$2.44,11.41
2022-03-31,29.45,$2.32,12.69
2021-12-31,22.66,$2.21,10.23
2021-09-30,22.23,$2.19,10.17
2021-06-30,22.37,$1.81,12.36
2021-03-31,19.67,$1.97,9.98
2020-12-31,16.37,$1.83,8.96
2020-09-30,15.76,$1.64,9.6
2020-06-30,14.95,$1.59,9.38
2020-03-31,10.89,$1.38,7.9
2019-12-31,17.71,$1.27,13.93
2019-09-30,17.67,$1.15,15.41
2019-06-30,20.28,$1.14,17.72
2019-03-31,20.49,$0.64,32.19
2018-12-31,15.51,$0.03,503.57
2018-09-30,18.86,$-0.15,0.0
2018-06-30,18.58,$-0.13,0.0
2018-03-31,16.82,$0.21,81.5
2017-12-31,20.38,$0.78,26.01
2017-09-30,19.85,$2.72,7.3
2017-06-30,19.82,$2.82,7.03
2017-03-31,19.17,$2.71,7.07
2016-12-31,19.97,$2.84,7.02
2016-09-30,19.58,$0.57,34.37
2016-06-30,13.69,$0.18,74.09
2016-03-31,9.89,$-0.00,0.0
2015-12-31,15.2,$-0.61,0.0
2015-09-30,21.32,$-0.65,0.0
2015-06-30,32.73,$-1.32,0.0
2015-03-31,28.5,$-2.32,0.0
2014-12-31,25.01,$-2.60,0.0
2014-09-30,30.41,$-3.14,0.0
2014-06-30,31.67,$-2.93,0.0
2014-03-31,21.88,$-2.15,0.0
2013-12-31,20.59,$-1.97,0.0
2013-09-30,19.2,$-1.76,0.0
2013-06-30,16.97,$-1.54,0.0
2013-03-31,19.38,$-1.60,0.0
2012-12-31,16.77,$-1.11,0.0
2012-09-30,17.74,$-0.37,0.0
2012-06-30,14.48,$-0.01,0.0
2012-03-31,15.32,$0.77,19.84
2011-12-31,13.32,$1.07,12.39
2011-09-30,9.74,$1.01,9.68
2011-06-30,12.01,$0.23,51.89
2011-03-31,12.3,$0.00,0.0
2010-12-31,9.71,$-0.15,0.0
2010-09-30,7.47,$0.14,52.44
2010-06-30,7.09,$0.82,8.67
2010-03-31,8.91,$0.81,11.02
2009-12-31,8.09,$0.31,25.86
