GENPREX Price to Free Cash Flow Ratio Historical Data,GENPREX Price to Free Cash Flow Ratio Historical Data,GENPREX Price to Free Cash Flow Ratio Historical Data,GENPREX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.38,,0.0
2024-09-30,0.36,$-8.19,0.0
2024-06-30,1.89,$-11.64,0.0
2024-03-31,2.98,$-15.75,0.0
2023-12-31,9.2,$-18.08,0.0
2023-09-30,15.8,$-17.48,0.0
2023-06-30,37.94,$-19.13,0.0
2023-03-31,36.4,$-16.90,0.0
2022-12-31,58.0,$-14.70,0.0
2022-09-30,56.4,$-13.74,0.0
2022-06-30,55.6,$-12.17,0.0
2022-03-31,90.4,$-10.68,0.0
2021-12-31,52.4,$-12.16,0.0
2021-09-30,107.2,$-14.72,0.0
2021-06-30,134.0,$-13.74,0.0
2021-03-31,172.4,$-14.11,0.0
2020-12-31,166.0,$-15.71,0.0
2020-09-30,134.4,$-14.50,0.0
2020-06-30,125.6,$-18.22,0.0
2020-03-31,96.8,$-19.54,0.0
2019-12-31,12.8,$-17.35,0.0
2019-09-30,32.0,$-20.03,0.0
2019-06-30,49.6,$-18.34,0.0
2019-03-31,62.2,$-23.55,0.0
2018-12-31,44.0,$-19.95,0.0
