BigBear.ai Holdings Price to Free Cash Flow Ratio Historical Data,BigBear.ai Holdings Price to Free Cash Flow Ratio Historical Data,BigBear.ai Holdings Price to Free Cash Flow Ratio Historical Data,BigBear.ai Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.0,,0.0
2024-09-30,1.46,$-0.14,0.0
2024-06-30,1.51,$-0.08,0.0
2024-03-31,2.05,$-0.15,0.0
2023-12-31,2.14,$-0.15,0.0
2023-09-30,1.51,$-0.21,0.0
2023-06-30,2.35,$-0.30,0.0
2023-03-31,2.44,$-0.42,0.0
2022-12-31,0.67,$-0.39,0.0
2022-09-30,1.57,$-0.51,0.0
2022-06-30,3.68,$-0.45,0.0
2022-03-31,8.24,$-0.25,0.0
