Orchestra BioMed Holdings Price to Free Cash Flow Ratio Historical Data,Orchestra BioMed Holdings Price to Free Cash Flow Ratio Historical Data,Orchestra BioMed Holdings Price to Free Cash Flow Ratio Historical Data,Orchestra BioMed Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.35,,0.0
2024-09-30,5.14,$-1.38,0.0
2024-06-30,8.15,$-1.33,0.0
2024-03-31,5.27,$-1.24,0.0
2023-12-31,9.13,$-1.39,0.0
2023-09-30,8.72,$-1.95,0.0
2023-06-30,7.0,$-1.37,0.0
2023-03-31,19.57,$-1.93,0.0
2022-12-31,9.98,$-1.99,0.0
2022-09-30,9.9,$-1.05,0.0
2022-06-30,9.96,$-1.35,0.0
2022-03-31,9.91,$-0.59,0.0
2021-12-31,10.08,$-0.01,0.0
2021-09-30,9.89,$0.01,0.0
2021-06-30,10.2,$-0.01,0.0
