Helmerich & Payne Price to Free Cash Flow Ratio Historical Data,Helmerich & Payne Price to Free Cash Flow Ratio Historical Data,Helmerich & Payne Price to Free Cash Flow Ratio Historical Data,Helmerich & Payne Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.33,,10.04
2024-12-31,32.02,$2.52,12.69
2024-09-30,30.2,$2.38,12.67
2024-06-30,35.44,$2.64,13.44
2024-03-31,40.79,$3.95,10.32
2023-12-31,34.74,$4.31,8.05
2023-09-30,40.0,$4.94,8.09
2023-06-30,33.24,$4.41,7.53
2023-03-31,33.01,$2.65,12.47
2022-12-31,45.3,$1.64,27.68
2022-09-30,33.47,$0.22,150.63
2022-06-30,38.75,$0.84,46.3
2022-03-31,38.28,$0.74,51.41
2021-12-31,21.04,$1.68,12.54
2021-09-30,24.1,$1.71,14.09
2021-06-30,28.41,$1.72,16.54
2021-03-31,23.28,$3.29,7.07
2020-12-31,19.81,$3.45,5.75
2020-09-30,12.35,$4.41,2.8
2020-06-30,16.23,$4.75,3.41
2020-03-31,12.52,$4.66,2.69
2019-12-31,35.73,$4.59,7.79
2019-09-30,30.98,$4.10,7.55
2019-06-30,38.5,$3.20,12.02
2019-03-31,41.74,$1.87,22.3
2018-12-31,35.56,$1.50,23.72
2018-09-30,50.44,$1.24,40.67
2018-06-30,46.23,$1.07,43.36
2018-03-31,47.8,$0.39,121.29
2017-12-31,45.92,$0.00,0.0
2017-09-30,36.58,$-0.03,0.0
2017-06-30,37.54,$0.64,58.88
2017-03-31,45.43,$1.73,26.19
2016-12-31,52.28,$2.90,18.0
2016-09-30,44.96,$4.81,9.35
2016-06-30,44.35,$4.90,9.04
2016-03-31,38.35,$5.31,7.23
2015-12-31,34.46,$4.51,7.64
2015-09-30,30.06,$2.95,10.21
2015-06-30,44.3,$1.92,23.07
2015-03-31,42.44,$0.71,60.0
2014-12-31,41.59,$0.60,69.56
2014-09-30,59.9,$1.90,31.47
2014-06-30,70.59,$2.28,30.95
2014-03-31,65.01,$3.14,20.72
2013-12-31,50.46,$2.38,21.21
2013-09-30,41.11,$2.00,20.52
2013-06-30,36.96,$2.19,16.86
2013-03-31,35.84,$0.40,90.12
2012-12-31,33.0,$0.77,42.71
2012-09-30,28.01,$-0.53,0.0
2012-06-30,25.54,$-0.40,0.0
2012-03-31,31.64,$0.91,34.63
2011-12-31,34.19,$1.60,21.4
2011-09-30,23.75,$2.85,8.32
2011-06-30,38.64,$2.26,17.07
2011-03-31,40.1,$2.18,18.38
2010-12-31,28.27,$1.91,14.78
2010-09-30,23.56,$1.31,18.0
2010-06-30,21.23,$1.30,16.31
2010-03-31,22.11,$1.35,16.32
2009-12-31,23.13,$0.81,28.4
