Industrial Logistics Properties Trust Price to Free Cash Flow Ratio Historical Data,Industrial Logistics Properties Trust Price to Free Cash Flow Ratio Historical Data,Industrial Logistics Properties Trust Price to Free Cash Flow Ratio Historical Data,Industrial Logistics Properties Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.52,,0.0
2024-12-31,3.65,$-0.06,0.0
2024-09-30,4.75,$0.30,15.91
2024-06-30,3.66,$0.34,10.63
2024-03-31,4.26,$0.29,14.54
2023-12-31,4.65,$0.17,27.82
2023-09-30,2.85,$-0.11,0.0
2023-06-30,3.25,$-0.66,0.0
2023-03-31,3.0,$-0.35,0.0
2022-12-31,3.19,$-54.01,0.0
2022-09-30,5.36,$-51.13,0.0
2022-06-30,13.7,$-51.68,0.0
2022-03-31,21.7,$-52.10,0.0
2021-12-31,23.63,$2.04,11.61
2021-09-30,23.69,$-0.93,0.0
2021-06-30,24.08,$0.65,36.95
2021-03-31,21.02,$1.18,17.82
2020-12-31,20.86,$0.05,391.29
2020-09-30,19.29,$0.53,36.5
2020-06-30,17.83,$-0.10,0.0
2020-03-31,14.93,$-8.86,0.0
2019-12-31,18.82,$-12.07,0.0
2019-09-30,17.57,$-12.40,0.0
2019-06-30,16.94,$-12.64,0.0
2019-03-31,16.14,$-4.71,0.0
2018-12-31,15.49,$-0.47,0.0
