Rocky Mountain Chocolate Factory Price to Free Cash Flow Ratio Historical Data,Rocky Mountain Chocolate Factory Price to Free Cash Flow Ratio Historical Data,Rocky Mountain Chocolate Factory Price to Free Cash Flow Ratio Historical Data,Rocky Mountain Chocolate Factory Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.25,,0.0
2024-11-30,2.7,$-1.09,0.0
2024-08-31,1.85,$-1.57,0.0
2024-05-31,2.8,$-1.05,0.0
2024-02-29,4.05,$-0.85,0.0
2023-11-30,4.08,$-0.60,0.0
2023-08-31,5.06,$-0.51,0.0
2023-05-31,5.12,$-0.60,0.0
2023-02-28,5.01,$-0.49,0.0
2022-11-30,6.08,$-0.41,0.0
2022-08-31,6.66,$-0.20,0.0
2022-05-31,6.75,$0.28,23.78
2022-02-28,7.85,$0.31,25.11
2021-11-30,8.5,$0.34,24.7
2021-08-31,7.93,$0.65,12.2
2021-05-31,6.26,$0.24,25.8
2021-02-28,5.29,$-0.01,0.0
2020-11-30,4.27,$-0.31,0.0
2020-08-31,3.26,$-0.33,0.0
2020-05-31,4.29,$0.04,108.61
2020-02-29,7.66,$0.55,13.81
2019-11-30,8.62,$0.90,9.62
2019-08-31,8.95,$0.77,11.68
2019-05-31,9.05,$0.61,14.83
2019-02-28,8.87,$0.57,15.54
2018-11-30,7.63,$0.71,10.79
2018-08-31,9.41,$0.58,16.29
2018-05-31,10.06,$0.44,22.89
2018-02-28,10.9,$0.70,15.5
2017-11-30,10.27,$0.56,18.44
2017-08-31,10.35,$0.79,13.09
2017-05-31,10.41,$0.95,10.96
2017-02-28,9.42,$0.69,13.7
2016-11-30,8.72,$0.66,13.19
2016-08-31,9.18,$0.61,15.04
2016-05-31,8.25,$0.70,11.87
2016-02-29,8.54,$1.00,8.57
2015-11-30,8.97,$0.85,10.56
2015-08-31,9.69,$0.90,10.73
2015-05-31,10.51,$0.86,12.18
2015-02-28,12.13,$0.90,13.47
2014-11-30,10.05,$1.13,8.87
2014-08-31,10.29,$1.03,10.02
2014-05-31,9.17,$0.92,9.99
2014-02-28,9.43,$0.49,19.27
2013-11-30,10.64,$0.65,16.31
2013-08-31,9.62,$0.70,13.68
2013-05-31,10.2,$0.87,11.74
2013-02-28,9.51,$1.05,9.09
2012-11-30,7.95,$0.69,11.6
2012-08-31,9.41,$0.57,16.5
2012-05-31,7.86,$0.48,16.36
2012-02-29,6.99,$0.47,14.98
2011-11-30,6.38,$0.35,18.16
2011-08-31,6.43,$0.44,14.57
2011-05-31,7.5,$0.45,16.65
2011-02-28,7.35,$0.40,18.38
2010-11-30,6.75,$0.68,9.98
2010-08-31,6.65,$0.73,9.1
2010-05-31,6.3,$0.80,7.92
2010-02-28,5.85,$0.83,7.05
2009-11-30,5.83,$0.98,5.98
