Psychemedics Price to Free Cash Flow Ratio Historical Data,Psychemedics Price to Free Cash Flow Ratio Historical Data,Psychemedics Price to Free Cash Flow Ratio Historical Data,Psychemedics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-12,2.67,,31.26
2024-09-30,2.31,$0.09,27.05
2024-06-30,2.42,$-0.14,0.0
2024-03-31,2.93,$-0.32,0.0
2023-12-31,2.96,$-0.29,0.0
2023-09-30,3.97,$-0.08,0.0
2023-06-30,4.56,$0.51,8.96
2023-03-31,5.18,$0.73,7.06
2022-12-31,4.77,$0.84,5.71
2022-09-30,6.2,$0.60,10.31
2022-06-30,6.03,$0.12,50.87
2022-03-31,6.49,$0.18,37.0
2021-12-31,6.61,$0.04,158.05
2021-09-30,7.85,$0.15,53.41
2021-06-30,6.51,$-0.08,0.0
2021-03-31,5.79,$-0.85,0.0
2020-12-31,4.76,$-0.89,0.0
2020-09-30,4.12,$-1.05,0.0
2020-06-30,5.19,$-0.57,0.0
2020-03-31,5.65,$0.29,19.4
2019-12-31,8.38,$0.48,17.6
2019-09-30,8.2,$1.08,7.59
2019-06-30,8.88,$0.89,9.94
2019-03-31,12.13,$1.05,11.55
2018-12-31,13.56,$1.21,11.16
2018-09-30,15.91,$0.81,19.61
2018-06-30,16.14,$1.48,10.94
2018-03-31,17.76,$0.89,19.86
2017-12-31,16.96,$1.43,11.82
2017-09-30,15.08,$1.64,9.18
2017-06-30,20.27,$1.56,12.96
2017-03-31,16.16,$2.10,7.71
2016-12-31,19.75,$1.33,14.9
2016-09-30,15.75,$1.23,12.77
2016-06-30,10.84,$0.63,17.32
2016-03-31,10.73,$0.45,23.6
2015-12-31,7.82,$0.52,14.96
2015-09-30,7.64,$0.53,14.33
2015-06-30,11.13,$0.68,16.46
2015-03-31,12.34,$-0.18,0.0
2014-12-31,11.16,$-0.58,0.0
2014-09-30,10.33,$-0.67,0.0
2014-06-30,10.22,$-0.55,0.0
2014-03-31,12.24,$0.41,29.62
2013-12-31,10.41,$0.83,12.52
2013-09-30,9.3,$0.49,19.12
2013-06-30,7.45,$0.29,25.76
2013-03-31,8.17,$0.23,35.06
2012-12-31,7.27,$0.17,43.91
2012-09-30,8.05,$0.76,10.56
2012-06-30,6.78,$0.65,10.37
2012-03-31,6.37,$0.57,11.14
2011-12-31,5.82,$0.49,11.82
2011-09-30,4.5,$0.26,17.05
2011-06-30,5.92,$0.51,11.7
2011-03-31,6.8,$0.42,16.29
2010-12-31,4.98,$0.47,10.51
2010-09-30,5.58,$0.55,10.17
2010-06-30,4.72,$0.45,10.57
2010-03-31,4.49,$0.48,9.26
2009-12-31,4.22,$0.45,9.3
