Northwest Bancshares Price to Free Cash Flow Ratio Historical Data,Northwest Bancshares Price to Free Cash Flow Ratio Historical Data,Northwest Bancshares Price to Free Cash Flow Ratio Historical Data,Northwest Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.0,,12.18
2024-12-31,13.19,$0.99,13.39
2024-09-30,13.2,$1.89,6.98
2024-06-30,11.22,$1.12,10.03
2024-03-31,11.11,$0.93,11.95
2023-12-31,11.71,$0.66,17.63
2023-09-30,9.41,$0.85,11.07
2023-06-30,9.59,$1.53,6.27
2023-03-31,10.69,$1.77,6.04
2022-12-31,12.25,$1.35,9.07
2022-09-30,11.68,$1.29,9.06
2022-06-30,10.91,$0.89,12.25
2022-03-31,11.33,$0.77,14.75
2021-12-31,11.71,$1.48,7.91
2021-09-30,10.83,$0.99,10.9
2021-06-30,10.95,$1.23,8.89
2021-03-31,11.44,$1.16,9.84
2020-12-31,9.94,$1.07,9.32
2020-09-30,7.05,$1.27,5.53
2020-06-30,7.68,$1.05,7.32
2020-03-31,8.53,$1.29,6.62
2019-12-31,12.12,$1.10,11.0
2019-09-30,11.82,$1.25,9.42
2019-06-30,12.56,$1.36,9.22
2019-03-31,11.98,$1.23,9.77
2018-12-31,11.84,$1.29,9.17
2018-09-30,11.98,$1.32,9.07
2018-06-30,11.92,$1.37,8.67
2018-03-31,11.23,$1.35,8.29
2017-12-31,11.23,$1.44,7.78
2017-09-30,11.49,$1.62,7.09
2017-06-30,10.28,$1.63,6.3
2017-03-31,10.98,$1.38,7.97
2016-12-31,11.65,$1.20,9.73
2016-09-30,10.05,$0.90,11.13
2016-06-30,9.39,$0.81,11.67
2016-03-31,8.46,$1.00,8.46
2015-12-31,8.28,$1.05,7.86
2015-09-30,7.96,$0.97,8.17
2015-06-30,7.76,$0.90,8.62
2015-03-31,7.09,$0.90,7.88
2014-12-31,7.41,$0.87,8.49
2014-09-30,7.09,$0.97,7.34
2014-06-30,7.86,$0.93,8.48
2014-03-31,7.8,$1.04,7.52
2013-12-31,7.77,$1.21,6.41
2013-09-30,6.88,$1.29,5.34
2013-06-30,6.97,$1.37,5.09
2013-03-31,6.42,$1.35,4.74
2012-12-31,6.15,$1.15,5.32
2012-09-30,6.07,$0.80,7.59
2012-06-30,5.75,$0.92,6.27
2012-03-31,6.18,$0.91,6.75
2011-12-31,5.99,$1.06,5.65
2011-09-30,5.68,$1.48,3.83
2011-06-30,5.95,$0.85,6.97
2011-03-31,5.88,$0.70,8.34
2010-12-31,5.48,$0.50,10.96
2010-09-30,5.15,$0.07,72.16
2010-06-30,5.24,$0.46,11.51
2010-03-31,5.32,$0.66,8.06
2009-12-31,5.06,$0.53,9.53
