Bank Of Hawaii Price to Free Cash Flow Ratio Historical Data,Bank Of Hawaii Price to Free Cash Flow Ratio Historical Data,Bank Of Hawaii Price to Free Cash Flow Ratio Historical Data,Bank Of Hawaii Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,68.26,,16.06
2024-12-31,71.24,$4.25,16.76
2024-09-30,61.63,$2.38,25.95
2024-06-30,55.58,$6.62,8.39
2024-03-31,60.61,$5.77,10.5
2023-12-31,69.56,$3.57,19.48
2023-09-30,47.13,$4.53,10.41
2023-06-30,38.6,$3.38,11.41
2023-03-31,47.93,$5.90,8.12
2022-12-31,70.71,$7.65,9.25
2022-09-30,68.79,$6.89,9.98
2022-06-30,66.64,$7.64,8.72
2022-03-31,74.51,$5.56,13.41
2021-12-31,73.77,$9.11,8.09
2021-09-30,71.75,$9.64,7.44
2021-06-30,72.93,$7.60,9.6
2021-03-31,76.91,$7.78,9.88
2020-12-31,65.36,$2.89,22.65
2020-09-30,42.73,$3.26,13.09
2020-06-30,51.33,$3.02,16.98
2020-03-31,45.7,$3.86,11.82
2019-12-31,78.05,$4.45,17.53
2019-09-30,69.96,$5.06,13.82
2019-06-30,66.97,$5.95,11.26
2019-03-31,63.17,$5.34,11.83
2018-12-31,53.52,$6.73,7.95
2018-09-30,62.73,$4.92,12.75
2018-06-30,65.84,$4.00,16.45
2018-03-31,65.13,$4.07,16.0
2017-12-31,66.75,$3.40,19.66
2017-09-30,64.54,$5.19,12.43
2017-06-30,63.81,$5.32,12.0
2017-03-31,62.94,$4.90,12.83
2016-12-31,67.38,$4.93,13.67
2016-09-30,54.86,$4.03,13.62
2016-06-30,51.62,$4.12,12.54
2016-03-31,50.88,$5.11,9.95
2015-12-31,46.54,$5.06,9.2
2015-09-30,46.67,$5.30,8.81
2015-06-30,48.67,$5.45,8.93
2015-03-31,44.35,$4.21,10.54
2014-12-31,42.66,$4.44,9.61
2014-09-30,40.55,$4.33,9.37
2014-06-30,41.57,$4.04,10.3
2014-03-31,42.59,$5.59,7.62
2013-12-31,41.23,$5.07,8.12
2013-09-30,37.67,$5.70,6.61
2013-06-30,34.52,$5.29,6.53
2013-03-31,34.55,$4.20,8.23
2012-12-31,29.68,$4.58,6.48
2012-09-30,30.42,$3.39,8.97
2012-06-30,30.35,$4.61,6.58
2012-03-31,31.63,$4.25,7.44
2011-12-31,28.83,$4.65,6.2
2011-09-30,23.32,$4.74,4.92
2011-06-30,29.48,$4.05,7.27
2011-03-31,30.01,$4.53,6.62
2010-12-31,29.35,$4.04,7.26
2010-09-30,27.64,$3.22,8.59
2010-06-30,29.46,$4.06,7.26
2010-03-31,27.14,$2.74,9.91
2009-12-31,28.12,$5.84,4.81
