Ventas Price to Free Cash Flow Ratio Historical Data,Ventas Price to Free Cash Flow Ratio Historical Data,Ventas Price to Free Cash Flow Ratio Historical Data,Ventas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,67.71,,26.9
2024-12-31,58.89,$2.52,23.4
2024-09-30,63.68,$2.26,28.12
2024-06-30,50.46,$2.15,23.43
2024-03-31,42.86,$2.16,19.83
2023-12-31,48.56,$2.12,22.89
2023-09-30,40.68,$2.17,18.75
2023-06-30,45.16,$2.22,20.38
2023-03-31,41.02,$2.13,19.26
2022-12-31,42.19,$2.23,18.96
2022-09-30,37.25,$2.24,16.6
2022-06-30,47.16,$2.12,22.26
2022-03-31,56.15,$2.22,25.33
2021-12-31,46.14,$2.18,21.2
2021-09-30,49.39,$2.30,21.44
2021-06-30,50.67,$2.89,17.55
2021-03-31,46.96,$3.24,14.48
2020-12-31,42.82,$3.46,12.38
2020-09-30,36.3,$3.67,9.9
2020-06-30,31.35,$3.40,9.22
2020-03-31,22.66,$3.36,6.75
2019-12-31,47.42,$3.46,13.69
2019-09-30,59.17,$3.46,17.09
2019-06-30,54.78,$3.45,15.87
2019-03-31,50.56,$3.55,14.25
2018-12-31,45.85,$3.48,13.18
2018-09-30,42.56,$3.46,12.29
2018-06-30,43.93,$3.61,12.16
2018-03-31,37.68,$3.52,10.72
2017-12-31,44.94,$3.61,12.43
2017-09-30,48.14,$3.70,13.0
2017-06-30,50.79,$3.62,14.02
2017-03-31,47.0,$3.70,12.69
2016-12-31,44.64,$3.55,12.57
2016-09-30,49.79,$3.68,13.53
2016-06-30,50.79,$3.64,13.96
2016-03-31,43.43,$3.63,11.96
2015-12-31,38.43,$3.87,9.94
2015-09-30,37.68,$3.84,9.82
2015-06-30,36.08,$4.06,8.88
2015-03-31,41.92,$4.01,10.45
2014-12-31,40.73,$3.93,10.35
2014-09-30,34.81,$4.03,8.64
2014-06-30,35.61,$4.05,8.79
2014-03-31,33.27,$3.96,8.4
2013-12-31,31.11,$3.77,8.25
2013-09-30,32.97,$3.55,9.28
2013-06-30,36.83,$3.25,11.32
2013-03-31,38.46,$3.04,12.63
2012-12-31,33.68,$3.14,10.74
2012-09-30,32.08,$3.95,8.13
2012-06-30,32.23,$3.65,8.82
2012-03-31,28.84,$3.18,9.07
2011-12-31,27.54,$3.13,8.79
2011-09-30,24.4,$2.03,12.0
2011-06-30,25.75,$2.42,10.64
2011-03-31,26.24,$2.77,9.46
2010-12-31,25.09,$2.72,9.21
2010-09-30,24.38,$2.79,8.74
2010-06-30,21.98,$2.73,8.06
2010-03-31,21.97,$2.63,8.34
2009-12-31,20.0,$2.69,7.43
