Winnebago Industries Price to Free Cash Flow Ratio Historical Data,Winnebago Industries Price to Free Cash Flow Ratio Historical Data,Winnebago Industries Price to Free Cash Flow Ratio Historical Data,Winnebago Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.84,,10.28
2024-11-30,58.54,$3.39,17.27
2024-08-31,59.29,$3.37,17.62
2024-05-31,61.34,$5.77,10.64
2024-02-29,70.6,$6.25,11.3
2023-11-30,63.32,$4.96,12.76
2023-08-31,63.22,$5.98,10.57
2023-05-31,54.03,$6.45,8.38
2023-02-28,61.44,$8.48,7.24
2022-11-30,56.38,$8.57,6.58
2022-08-31,55.15,$9.48,5.82
2022-05-31,47.19,$7.61,6.2
2022-02-28,60.95,$4.33,14.09
2021-11-30,68.53,$7.08,9.68
2021-08-31,65.89,$6.01,10.97
2021-05-31,69.88,$7.07,9.88
2021-02-28,65.65,$5.93,11.08
2020-11-30,49.84,$4.77,10.46
2020-08-31,50.71,$7.12,7.13
2020-05-31,51.02,$5.29,9.64
2020-02-29,48.51,$4.98,9.73
2019-11-30,44.35,$3.88,11.44
2019-08-31,29.78,$2.93,10.15
2019-05-31,29.81,$1.99,14.98
2019-02-28,30.15,$2.51,11.99
2018-11-30,23.13,$2.27,10.19
2018-08-31,34.06,$1.73,19.69
2018-05-31,33.33,$2.25,14.84
2018-02-28,39.93,$2.88,13.87
2017-11-30,50.11,$3.60,13.9
2017-08-31,33.02,$2.71,12.19
2017-05-31,22.31,$2.43,9.18
2017-02-28,29.94,$1.92,15.59
2016-11-30,29.34,$1.32,22.17
2016-08-31,21.69,$1.04,20.78
2016-05-31,20.2,$1.33,15.14
2016-02-29,16.72,$1.58,10.6
2015-11-30,19.98,$1.46,13.71
2015-08-31,18.1,$1.06,17.07
2015-05-31,19.13,$0.51,37.47
2015-02-28,20.34,$0.22,93.91
2014-11-30,21.97,$0.23,96.47
2014-08-31,21.49,$0.55,38.99
2014-05-31,21.51,$0.78,27.6
2014-02-28,23.17,$0.11,210.98
2013-11-30,26.9,$0.14,198.39
2013-08-31,19.35,$0.23,83.23
2013-05-31,18.04,$-0.76,0.0
2013-02-28,16.84,$-1.41,0.0
2012-11-30,12.36,$-0.48,0.0
2012-08-31,9.99,$-0.07,0.0
2012-05-31,7.79,$0.47,16.5
2012-02-29,7.75,$0.55,14.03
2011-11-30,5.6,$-0.43,0.0
2011-08-31,6.82,$-0.28,0.0
2011-05-31,9.95,$-0.54,0.0
2011-02-28,12.56,$0.46,27.51
2010-11-30,9.11,$1.47,6.18
2010-08-31,7.46,$1.07,6.94
2010-05-31,10.54,$1.04,10.14
2010-02-28,10.15,$0.43,23.62
2009-11-30,9.43,$-0.04,0.0
