IQVIA Holdings Price to Free Cash Flow Ratio Historical Data,IQVIA Holdings Price to Free Cash Flow Ratio Historical Data,IQVIA Holdings Price to Free Cash Flow Ratio Historical Data,IQVIA Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,184.26,,15.8
2024-12-31,196.51,$11.66,16.85
2024-09-30,236.97,$10.73,22.09
2024-06-30,211.44,$10.00,21.15
2024-03-31,252.89,$8.76,28.88
2023-12-31,231.38,$8.05,28.74
2023-09-30,196.75,$7.03,28.01
2023-06-30,224.77,$8.36,26.88
2023-03-31,198.89,$7.95,25.01
2022-12-31,204.89,$8.32,24.62
2022-09-30,181.14,$8.94,20.26
2022-06-30,216.99,$8.71,24.91
2022-03-31,231.21,$9.83,23.51
2021-12-31,282.14,$11.81,23.9
2021-09-30,239.54,$12.13,19.75
2021-06-30,242.32,$10.75,22.54
2021-03-31,193.14,$10.46,18.47
2020-12-31,179.17,$6.89,26.01
2020-09-30,157.63,$6.17,25.53
2020-06-30,141.88,$4.99,28.43
2020-03-31,107.86,$4.43,24.32
2019-12-31,154.51,$4.18,36.93
2019-09-30,149.38,$3.28,45.57
2019-06-30,160.9,$3.45,46.64
2019-03-31,143.85,$3.24,44.45
2018-12-31,116.17,$3.82,30.42
2018-09-30,129.74,$3.05,42.55
2018-06-30,99.82,$3.55,28.1
2018-03-31,98.11,$3.24,30.31
2017-12-31,97.9,$2.70,36.26
2017-09-30,95.07,$3.96,24.0
2017-06-30,89.5,$4.34,20.61
2017-03-31,80.53,$3.78,21.32
2016-12-31,76.05,$4.58,16.61
2016-09-30,81.06,$4.24,19.14
2016-06-30,65.32,$4.32,15.13
2016-03-31,65.1,$4.51,14.43
2015-12-31,68.66,$3.17,21.67
2015-09-30,69.57,$3.46,20.09
2015-06-30,72.61,$2.29,31.73
2015-03-31,66.97,$2.38,28.11
2014-12-31,58.87,$2.67,22.05
2014-09-30,55.78,$2.52,22.09
2014-06-30,53.29,$2.88,18.5
2014-03-31,50.77,$2.05,24.71
