EuroDry Price to Free Cash Flow Ratio Historical Data,EuroDry Price to Free Cash Flow Ratio Historical Data,EuroDry Price to Free Cash Flow Ratio Historical Data,EuroDry Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.12,,0.0
2024-09-30,20.5,$-19.73,0.0
2024-06-30,24.56,$-20.89,0.0
2024-03-31,20.84,$-19.38,0.0
2023-12-31,19.05,$-19.36,0.0
2023-09-30,15.35,$5.97,2.57
2023-06-30,14.12,$9.76,1.45
2023-03-31,16.57,$6.60,2.51
2022-12-31,17.19,$1.59,10.83
2022-09-30,13.0,$1.49,8.72
2022-06-30,18.09,$-5.76,0.0
2022-03-31,33.9,$-3.18,0.0
2021-12-31,19.04,$0.91,20.96
2021-09-30,31.18,$-2.19,0.0
2021-06-30,24.34,$2.14,11.39
2021-03-31,8.75,$1.00,8.79
2020-12-31,5.48,$0.75,7.27
2020-09-30,3.8,$0.96,3.96
2020-06-30,3.5,$2.21,1.58
2020-03-31,4.81,$3.00,1.6
2019-12-31,7.8,$6.22,1.25
2019-09-30,8.0,$1.18,6.78
2019-06-30,7.05,$0.85,8.31
2019-03-31,8.67,$-8.18,0.0
