Aemetis Price to Free Cash Flow Ratio Historical Data,Aemetis Price to Free Cash Flow Ratio Historical Data,Aemetis Price to Free Cash Flow Ratio Historical Data,Aemetis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.99,,0.0
2024-12-31,2.69,$-1.16,0.0
2024-09-30,2.3,$-0.30,0.0
2024-06-30,3.01,$-0.42,0.0
2024-03-31,5.99,$-0.32,0.0
2023-12-31,5.24,$-0.51,0.0
2023-09-30,4.15,$-1.42,0.0
2023-06-30,7.33,$-1.59,0.0
2023-03-31,2.32,$-1.79,0.0
2022-12-31,3.96,$-1.79,0.0
2022-09-30,6.12,$-1.63,0.0
2022-06-30,4.91,$-1.37,0.0
2022-03-31,12.67,$-1.28,0.0
2021-12-31,12.3,$-1.54,0.0
2021-09-30,18.28,$-1.64,0.0
2021-06-30,11.17,$-1.63,0.0
2021-03-31,24.52,$-1.50,0.0
2020-12-31,2.49,$-0.80,0.0
2020-09-30,3.2,$-0.59,0.0
2020-06-30,0.81,$-0.59,0.0
2020-03-31,0.52,$-0.47,0.0
2019-12-31,0.83,$-0.52,0.0
2019-09-30,1.09,$-0.48,0.0
2019-06-30,0.85,$-0.42,0.0
2019-03-31,0.83,$-0.56,0.0
2018-12-31,0.61,$-0.47,0.0
2018-09-30,1.02,$-0.43,0.0
2018-06-30,1.51,$-0.39,0.0
2018-03-31,1.7,$-0.42,0.0
2017-12-31,0.55,$-0.49,0.0
2017-09-30,0.87,$-0.37,0.0
2017-06-30,1.33,$-0.22,0.0
2017-03-31,1.29,$-0.16,0.0
2016-12-31,1.39,$-0.01,0.0
2016-09-30,1.08,$0.10,10.78
2016-06-30,2.28,$0.07,31.89
2016-03-31,2.04,$0.06,33.89
2015-12-31,2.9,$-0.04,0.0
2015-09-30,2.75,$-0.20,0.0
2015-06-30,3.6,$-0.20,0.0
2015-03-31,4.22,$0.80,5.26
