InspireMD Price to Free Cash Flow Ratio Historical Data,InspireMD Price to Free Cash Flow Ratio Historical Data,InspireMD Price to Free Cash Flow Ratio Historical Data,InspireMD Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.75,,0.0
2024-12-31,2.63,$-0.56,0.0
2024-09-30,2.68,$-0.66,0.0
2024-06-30,2.5,$-0.58,0.0
2024-03-31,2.37,$-0.24,0.0
2023-12-31,2.81,$-0.69,0.0
2023-09-30,3.27,$-0.77,0.0
2023-06-30,2.51,$-1.48,0.0
2023-03-31,1.13,$-2.10,0.0
2022-12-31,0.86,$-2.03,0.0
2022-09-30,1.48,$-2.11,0.0
2022-06-30,2.0,$-1.98,0.0
2022-03-31,3.2,$-1.78,0.0
2021-12-31,3.02,$-1.85,0.0
2021-09-30,4.1,$-4.44,0.0
2021-06-30,5.05,$-2.32,0.0
2021-03-31,10.08,$0.99,10.18
2020-12-31,5.11,$-6.05,0.0
2020-09-30,4.76,$1.69,2.82
2020-06-30,6.98,$-5.99,0.0
2020-03-31,9.26,$-16.63,0.0
2019-12-31,16.2,$-72.41,0.0
2019-09-30,19.5,$-219.05,0.0
2019-06-30,51.15,$124.54,0.41
2019-03-31,105.0,$279.67,0.38
2018-12-31,119.17,$-249.25,0.0
2018-09-30,165.0,$-109.05,0.0
2018-06-30,186.75,$-452.90,0.0
2018-03-31,780.0,$-589.03,0.0
2017-12-31,3370.5,$-22.55,0.0
2017-09-30,10526.26,$-203.75,0.0
2017-06-30,17587.51,$-193.53,0.0
2017-03-31,25987.51,$-205.44,0.0
2016-12-31,65625.03,$-185.40,0.0
2016-09-30,54009.4,$-13.26,0.0
2016-06-30,210000.11,$-46.99,0.0
2016-03-31,331406.42,$-46.53,0.0
2015-12-31,577500.29,$-41.65,0.0
2015-09-30,1082813.04,$-32.15,0.0
2015-06-30,1837500.92,$-6.19,0.0
2015-03-31,2100001.05,$-6.33,0.0
2014-12-31,5102346.3,$-5.51,0.0
2014-09-30,14437507.22,$-3.92,0.0
2014-06-30,19359384.68,$-0.10,0.0
2014-03-31,20015635.01,$0.05,424060063.72
2013-12-31,16143758.07,0,0.0
2013-09-30,15290632.65,$-0.09,0.0
2013-06-30,14503132.25,$-0.15,0.0
2013-03-31,16537508.27,$-0.16,0.0
