Griffon Price to Free Cash Flow Ratio Historical Data,Griffon Price to Free Cash Flow Ratio Historical Data,Griffon Price to Free Cash Flow Ratio Historical Data,Griffon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.51,,10.23
2024-12-31,71.27,$6.99,10.19
2024-09-30,69.85,$6.57,10.64
2024-06-30,63.58,$7.22,8.8
2024-03-31,73.02,$7.16,10.2
2023-12-31,60.55,$8.21,7.38
2023-09-30,39.29,$7.13,5.51
2023-06-30,39.79,$7.66,5.2
2023-03-31,29.51,$7.03,4.2
2022-12-31,32.91,$3.60,9.15
2022-09-30,27.07,$0.33,83.05
2022-06-30,23.8,$-0.99,0.0
2022-03-31,16.96,$-1.87,0.0
2021-12-31,24.02,$-1.22,0.0
2021-09-30,20.68,$0.62,33.34
2021-06-30,21.47,$0.76,28.22
2021-03-31,22.69,$2.20,10.31
2020-12-31,16.96,$2.24,7.57
2020-09-30,16.2,$1.47,11.04
2020-06-30,15.3,$2.09,7.33
2020-03-31,10.41,$1.09,9.55
2019-12-31,16.66,$0.76,21.79
2019-09-30,17.13,$1.30,13.17
2019-06-30,13.77,$0.82,16.69
2019-03-31,14.96,$0.11,132.87
2018-12-31,8.43,$0.40,21.05
2018-09-30,12.95,$0.21,63.01
2018-06-30,14.22,$-0.65,0.0
2018-03-31,14.53,$-0.58,0.0
2017-12-31,15.3,$0.14,111.21
2017-09-30,16.64,$0.33,49.86
2017-06-30,16.4,$0.62,26.52
2017-03-31,18.37,$0.90,20.31
2016-12-31,19.48,$1.24,15.7
2016-09-30,12.62,$0.49,25.75
2016-06-30,12.47,$0.17,72.53
2016-03-31,11.39,$0.32,35.51
2015-12-31,13.08,$-0.68,0.0
2015-09-30,11.56,$-0.31,0.0
2015-06-30,11.64,$-0.11,0.0
2015-03-31,12.71,$-0.14,0.0
2014-12-31,9.68,$0.59,16.45
2014-09-30,8.26,$0.34,24.18
2014-06-30,8.97,$1.06,8.46
2014-03-31,8.61,$0.33,26.18
2013-12-31,9.51,$0.45,21.14
2013-09-30,9.0,$0.40,22.32
2013-06-30,8.06,$0.10,80.56
2013-03-31,8.51,$-0.06,0.0
2012-12-31,8.16,$0.12,70.68
2012-09-30,7.31,$0.38,19.42
2012-06-30,6.08,$-0.50,0.0
2012-03-31,7.56,$-0.31,0.0
2011-12-31,6.44,$-0.75,0.0
2011-09-30,5.76,$-0.86,0.0
2011-06-30,7.09,$-0.48,0.0
2011-03-31,9.24,$-0.37,0.0
2010-12-31,8.97,$0.13,69.03
2010-09-30,8.58,$0.71,12.07
2010-06-30,7.78,$0.87,8.96
2010-03-31,8.77,$0.79,11.09
2009-12-31,8.6,$0.75,11.5
