Dynagas LNG Partners LP Price to Free Cash Flow Ratio Historical Data,Dynagas LNG Partners LP Price to Free Cash Flow Ratio Historical Data,Dynagas LNG Partners LP Price to Free Cash Flow Ratio Historical Data,Dynagas LNG Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.02,,1.85
2024-09-30,3.75,$2.17,1.73
2024-06-30,3.99,$2.07,1.93
2024-03-31,2.9,$1.69,1.71
2023-12-31,2.77,$1.75,1.58
2023-09-30,2.68,$1.57,1.71
2023-06-30,2.48,$1.27,1.96
2023-03-31,2.8,$1.25,2.23
2022-12-31,2.59,$1.56,1.66
2022-09-30,2.85,$1.78,1.6
2022-06-30,3.27,$2.02,1.62
2022-03-31,3.97,$2.21,1.79
2021-12-31,2.86,$2.18,1.31
2021-09-30,3.03,$1.99,1.52
2021-06-30,3.29,$2.23,1.48
2021-03-31,2.83,$2.04,1.38
2020-12-31,2.47,$1.93,1.28
2020-09-30,2.47,$1.91,1.3
2020-06-30,3.17,$1.52,2.09
2020-03-31,1.06,$1.49,0.71
2019-12-31,2.09,$1.22,1.72
2019-09-30,1.96,$1.09,1.8
2019-06-30,1.43,$1.09,1.32
2019-03-31,2.17,$1.12,1.93
2018-12-31,3.17,$1.20,2.64
2018-09-30,8.01,$1.41,5.66
2018-06-30,7.25,$1.45,5.0
2018-03-31,8.61,$1.48,5.83
2017-12-31,9.04,$1.72,5.26
2017-09-30,11.25,$2.39,4.71
2017-06-30,11.89,$3.27,3.63
2017-03-31,13.37,$4.38,3.05
2016-12-31,11.83,$3.23,3.67
2016-09-30,11.16,$-6.51,0.0
2016-06-30,9.55,$-6.47,0.0
2016-03-31,7.73,$-7.14,0.0
2015-12-31,6.29,$-5.27,0.0
2015-09-30,8.37,$2.07,4.05
2015-06-30,9.7,$-5.10,0.0
2015-03-31,11.52,$-17.95,0.0
2014-12-31,9.56,$-18.26,0.0
2014-09-30,13.55,$-11.28,0.0
