CollPlant Biotechnologies Price to Free Cash Flow Ratio Historical Data,CollPlant Biotechnologies Price to Free Cash Flow Ratio Historical Data,CollPlant Biotechnologies Price to Free Cash Flow Ratio Historical Data,CollPlant Biotechnologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.07,,0.0
2024-09-30,4.97,$-1.19,0.0
2024-06-30,4.97,$-0.32,0.0
2024-03-31,5.35,$-0.29,0.0
2023-12-31,6.39,$-0.32,0.0
2023-09-30,5.57,$-0.43,0.0
2023-06-30,8.16,$-1.30,0.0
2023-03-31,7.02,$-1.35,0.0
2022-12-31,8.35,$-1.36,0.0
2022-09-30,6.8,$-1.31,0.0
2022-06-30,8.0,$-1.34,0.0
2022-03-31,11.22,$-1.19,0.0
2021-12-31,16.36,$0.09,177.06
2021-09-30,16.9,$-0.01,0.0
2021-06-30,21.21,$0.67,31.53
2021-03-31,13.44,$0.65,20.71
2020-12-31,10.77,$-0.71,0.0
2020-09-30,8.34,$-0.64,0.0
2020-06-30,9.99,$-1.28,0.0
2020-03-31,9.2,$-1.48,0.0
2019-12-31,5.7,$-1.44,0.0
2019-09-30,4.03,$-0.46,0.0
2019-06-30,206.5,$-0.36,0.0
2019-03-31,275.01,$-0.34,0.0
2018-12-31,210.0,$-0.47,0.0
