H&E Equipment Services Price to Free Cash Flow Ratio Historical Data,H&E Equipment Services Price to Free Cash Flow Ratio Historical Data,H&E Equipment Services Price to Free Cash Flow Ratio Historical Data,H&E Equipment Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,95.08,,17.86
2024-12-31,48.96,$5.32,9.2
2024-09-30,48.46,$2.89,16.76
2024-06-30,43.71,$1.03,42.34
2024-03-31,63.15,$-2.66,0.0
2023-12-31,51.22,$-4.73,0.0
2023-09-30,42.02,$-4.66,0.0
2023-06-30,44.24,$-4.80,0.0
2023-03-31,42.46,$-3.14,0.0
2022-12-31,43.35,$-2.64,0.0
2022-09-30,26.88,$-2.92,0.0
2022-06-30,27.27,$-0.42,0.0
2022-03-31,40.64,$-1.78,0.0
2021-12-31,41.07,$-1.30,0.0
2021-09-30,32.01,$1.03,31.03
2021-06-30,30.43,$1.63,18.7
2021-03-31,34.5,$8.00,4.31
2020-12-31,26.83,$8.51,3.15
2020-09-30,17.52,$9.09,1.93
2020-06-30,16.26,$7.10,2.29
2020-03-31,12.71,$3.56,3.57
2019-12-31,28.61,$2.78,10.3
2019-09-30,24.5,$1.92,12.77
2019-06-30,24.41,$-0.12,0.0
2019-03-31,20.85,$-2.17,0.0
2018-12-31,16.79,$-2.31,0.0
2018-09-30,30.68,$-3.04,0.0
2018-06-30,30.29,$-0.46,0.0
2018-03-31,30.77,$1.76,17.45
2017-12-31,32.26,$2.05,15.75
2017-09-30,22.99,$2.46,9.36
2017-06-30,15.89,$1.30,12.22
2017-03-31,18.83,$1.66,11.37
2016-12-31,17.65,$1.76,10.01
2016-09-30,12.53,$2.19,5.72
2016-06-30,13.99,$3.41,4.1
2016-03-31,12.7,$3.70,3.44
2015-12-31,12.39,$2.97,4.17
2015-09-30,11.67,$0.36,32.22
2015-06-30,13.71,$-1.16,0.0
2015-03-31,16.98,$-3.09,0.0
2014-12-31,18.87,$-3.92,0.0
2014-09-30,26.88,$-2.13,0.0
2014-06-30,24.1,$-1.92,0.0
2014-03-31,26.82,$-1.89,0.0
2013-12-31,19.65,$-1.16,0.0
2013-09-30,17.61,$-3.01,0.0
2013-06-30,13.97,$-4.29,0.0
2013-03-31,13.53,$-4.39,0.0
2012-12-31,9.99,$-4.92,0.0
2012-09-30,8.04,$-3.83,0.0
2012-06-30,6.5,$-1.64,0.0
2012-03-31,8.18,$-0.78,0.0
2011-12-31,5.8,$-0.59,0.0
2011-09-30,3.57,$-1.01,0.0
2011-06-30,6.05,$-1.53,0.0
2011-03-31,8.45,$-0.90,0.0
2010-12-31,5.0,$-0.34,0.0
2010-09-30,3.45,$0.74,4.64
2010-06-30,3.24,$2.45,1.32
2010-03-31,4.66,$2.96,1.58
2009-12-31,4.54,$3.20,1.42
