ABVC BioPharma Price to Free Cash Flow Ratio Historical Data,ABVC BioPharma Price to Free Cash Flow Ratio Historical Data,ABVC BioPharma Price to Free Cash Flow Ratio Historical Data,ABVC BioPharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.67,,0.0
2024-09-30,0.68,$-0.16,0.0
2024-06-30,0.77,$-0.39,0.0
2024-03-31,1.31,$-0.58,0.0
2023-12-31,1.16,$-0.98,0.0
2023-09-30,1.04,$-1.14,0.0
2023-06-30,5.2,$-1.01,0.0
2023-03-31,6.4,$-1.79,0.0
2022-12-31,6.25,$-2.37,0.0
2022-09-30,8.8,$-3.31,0.0
2022-06-30,10.6,$-5.13,0.0
