Manhattan Bridge Capital Price to Free Cash Flow Ratio Historical Data,Manhattan Bridge Capital Price to Free Cash Flow Ratio Historical Data,Manhattan Bridge Capital Price to Free Cash Flow Ratio Historical Data,Manhattan Bridge Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.75,,13.34
2024-12-31,5.6,$0.43,13.0
2024-09-30,5.45,$0.46,11.87
2024-06-30,4.92,$0.46,10.59
2024-03-31,4.74,$0.47,10.18
2023-12-31,4.65,$0.47,9.91
2023-09-30,4.29,$0.46,9.32
2023-06-30,4.41,$0.44,10.07
2023-03-31,4.42,$0.44,10.13
2022-12-31,4.55,$0.45,10.14
2022-09-30,4.61,$0.51,9.06
2022-06-30,4.47,$0.47,9.45
2022-03-31,4.97,$0.45,10.97
2021-12-31,4.3,$0.44,9.85
2021-09-30,5.11,$0.38,13.57
2021-06-30,5.78,$0.44,13.09
2021-03-31,4.42,$0.43,10.24
2020-12-31,3.77,$0.44,8.62
2020-09-30,3.03,$0.46,6.52
2020-06-30,3.17,$0.45,7.0
2020-03-31,2.7,$0.46,5.88
2019-12-31,4.2,$0.46,9.15
2019-09-30,4.09,$0.48,8.52
2019-06-30,3.99,$0.46,8.7
2019-03-31,3.89,$0.49,8.0
2018-12-31,3.44,$0.50,6.94
2018-09-30,3.76,$0.45,8.38
2018-06-30,4.37,$0.47,9.21
2018-03-31,3.96,$0.46,8.62
2017-12-31,3.38,$0.43,7.95
2017-09-30,3.21,$0.42,7.57
2017-06-30,3.22,$0.39,8.23
2017-03-31,3.13,$0.40,7.92
2016-12-31,4.04,$0.40,10.07
2016-09-30,3.71,$0.41,9.1
2016-06-30,2.71,$0.41,6.68
2016-03-31,2.17,$0.36,5.98
2015-12-31,2.19,$0.31,7.04
2015-09-30,1.97,$0.31,6.3
2015-06-30,2.07,$0.28,7.38
2015-03-31,1.83,$0.30,6.08
2014-12-31,1.83,$0.25,7.35
2014-09-30,1.24,$0.20,6.3
2014-06-30,1.47,$0.21,6.97
2014-03-31,0.85,$0.18,4.67
2013-12-31,0.74,$0.18,4.03
2013-09-30,0.82,$0.18,4.6
2013-06-30,0.7,$0.15,4.56
2013-03-31,0.57,$0.10,5.62
2012-12-31,0.46,$0.12,3.75
2012-09-30,0.44,$0.09,4.83
2012-06-30,0.43,$0.07,5.87
2012-03-31,0.47,$0.11,4.25
2011-12-31,0.43,$0.10,4.09
2011-09-30,0.5,$0.12,4.23
2011-06-30,0.56,$0.10,5.4
2011-03-31,0.68,$0.05,13.33
2010-12-31,0.54,$0.07,8.11
2010-09-30,0.61,$0.07,8.22
2010-06-30,0.58,$0.11,5.48
2010-03-31,0.57,$0.14,4.22
2009-12-31,0.42,$0.15,2.91
