Inovio Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Inovio Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Inovio Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Inovio Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.94,,0.0
2024-12-31,1.83,$-3.85,0.0
2024-09-30,5.78,$-4.23,0.0
2024-06-30,8.08,$-4.59,0.0
2024-03-31,13.88,$-5.14,0.0
2023-12-31,6.12,$-5.34,0.0
2023-09-30,4.67,$-6.35,0.0
2023-06-30,5.36,$-8.02,0.0
2023-03-31,9.84,$-8.96,0.0
2022-12-31,18.72,$-10.92,0.0
2022-09-30,20.7,$-10.98,0.0
2022-06-30,20.76,$-10.69,0.0
2022-03-31,43.08,$-12.71,0.0
2021-12-31,59.88,$-12.47,0.0
2021-09-30,85.92,$-15.31,0.0
2021-06-30,111.24,$-17.37,0.0
2021-03-31,111.36,$-14.57,0.0
2020-12-31,106.2,$-13.89,0.0
2020-09-30,139.2,$-10.86,0.0
2020-06-30,323.4,$-9.10,0.0
2020-03-31,89.28,$-10.41,0.0
2019-12-31,39.6,$-12.02,0.0
2019-09-30,24.6,$-12.20,0.0
2019-06-30,35.28,$-12.43,0.0
2019-03-31,44.76,$-12.07,0.0
2018-12-31,48.0,$-9.81,0.0
2018-09-30,66.72,$-10.22,0.0
2018-06-30,47.04,$-9.13,0.0
2018-03-31,56.52,$-10.01,0.0
2017-12-31,49.56,$-10.77,0.0
2017-09-30,76.08,$-10.61,0.0
2017-06-30,94.08,$-11.58,0.0
2017-03-31,79.44,$-10.56,0.0
2016-12-31,83.28,$-10.71,0.0
2016-09-30,111.84,$-9.62,0.0
2016-06-30,110.88,$-3.87,0.0
2016-03-31,104.52,$-2.92,0.0
2015-12-31,80.64,$-2.67,0.0
2015-09-30,69.3,$-2.99,0.0
2015-06-30,97.92,$-7.35,0.0
2015-03-31,97.92,$-7.54,0.0
2014-12-31,110.16,$-6.31,0.0
2014-09-30,118.2,$-4.47,0.0
2014-06-30,129.72,$-4.12,0.0
2014-03-31,159.84,$-3.71,0.0
2013-12-31,139.2,$-4.05,0.0
2013-09-30,99.36,$-6.03,0.0
2013-06-30,38.21,$-6.87,0.0
2013-03-31,28.56,$-7.55,0.0
2012-12-31,23.98,$-7.93,0.0
2012-09-30,28.08,$-7.82,0.0
2012-06-30,22.08,$-7.68,0.0
2012-03-31,32.11,$-7.34,0.0
2011-12-31,20.54,$-7.58,0.0
2011-09-30,27.12,$-7.33,0.0
2011-06-30,28.82,$-5.71,0.0
2011-03-31,52.8,$-5.71,0.0
2010-12-31,55.2,$-5.62,0.0
2010-09-30,60.0,$-7.19,0.0
2010-06-30,48.96,$-6.67,0.0
2010-03-31,63.36,$-8.71,0.0
2009-12-31,54.72,$-9.08,0.0
