Great Elm Capital Price to Free Cash Flow Ratio Historical Data,Great Elm Capital Price to Free Cash Flow Ratio Historical Data,Great Elm Capital Price to Free Cash Flow Ratio Historical Data,Great Elm Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.04,,0.0
2024-12-31,10.99,$-8.40,0.0
2024-09-30,9.83,$-10.64,0.0
2024-06-30,9.98,$-4.59,0.0
2024-03-31,9.99,$-0.70,0.0
2023-12-31,9.31,$3.38,2.76
2023-09-30,8.28,$0.93,8.91
2023-06-30,6.28,$2.26,2.78
2023-03-31,6.97,$-6.00,0.0
2022-12-31,6.17,$-6.68,0.0
2022-09-30,6.58,$-0.54,0.0
2022-06-30,8.51,$-12.25,0.0
2022-03-31,9.64,$-7.72,0.0
2021-12-31,11.67,$-14.36,0.0
2021-09-30,12.83,$-15.64,0.0
2021-06-30,12.54,$-16.94,0.0
2021-03-31,11.82,$-6.56,0.0
2020-12-31,12.18,$12.35,0.99
2020-09-30,10.6,$12.15,0.87
2020-06-30,12.58,$22.70,0.55
2020-03-31,7.75,$-5.00,0.0
2019-12-31,20.45,$-14.33,0.0
2019-09-30,20.77,$-15.27,0.0
2019-06-30,21.4,$-13.96,0.0
2019-03-31,19.75,$6.84,2.89
2018-12-31,18.22,$-17.15,0.0
2018-09-30,22.05,$-1.11,0.0
2018-06-30,20.48,$-12.49,0.0
2018-03-31,19.89,$-36.40,0.0
2017-12-31,21.23,$-12.50,0.0
2017-09-30,21.55,$-30.09,0.0
