Monroe Capital Price to Free Cash Flow Ratio Historical Data,Monroe Capital Price to Free Cash Flow Ratio Historical Data,Monroe Capital Price to Free Cash Flow Ratio Historical Data,Monroe Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.84,,4.72
2024-12-31,8.5,$1.66,5.12
2024-09-30,7.84,$2.42,3.24
2024-06-30,7.16,$1.51,4.74
2024-03-31,6.56,$1.42,4.62
2023-12-31,6.21,$2.39,2.6
2023-09-30,6.33,$-0.37,0.0
2023-06-30,6.73,$1.04,6.46
2023-03-31,6.11,$0.40,15.26
2022-12-31,6.6,$0.65,10.14
2022-09-30,5.44,$1.96,2.78
2022-06-30,6.59,$-0.06,0.0
2022-03-31,7.66,$-0.00,0.0
2021-12-31,7.79,$0.93,8.35
2021-09-30,7.06,$0.42,16.62
2021-06-30,7.12,$3.83,1.86
2021-03-31,6.52,$5.97,1.09
2020-12-31,5.09,$3.58,1.42
2020-09-30,4.21,$6.55,0.64
2020-06-30,4.13,$2.81,1.47
2020-03-31,4.09,$-1.01,0.0
2019-12-31,5.99,$-1.92,0.0
2019-09-30,5.64,$-7.84,0.0
2019-06-30,5.97,$-5.91,0.0
2019-03-31,6.1,$-4.36,0.0
2018-12-31,4.69,$-2.71,0.0
2018-09-30,6.42,$-2.95,0.0
2018-06-30,6.22,$-2.06,0.0
2018-03-31,5.53,$-3.59,0.0
2017-12-31,6.01,$-3.74,0.0
2017-09-30,6.11,$-2.19,0.0
2017-06-30,6.34,$-5.76,0.0
2017-03-31,6.4,$-3.80,0.0
2016-12-31,6.12,$-3.57,0.0
2016-09-30,6.12,$-2.05,0.0
2016-06-30,5.64,$-4.80,0.0
2016-03-31,5.14,$-5.47,0.0
2015-12-31,4.73,$-7.08,0.0
2015-09-30,4.9,$-6.56,0.0
2015-06-30,5.13,$-0.52,0.0
2015-03-31,4.96,$-1.27,0.0
2014-12-31,4.75,$-1.20,0.0
2014-09-30,4.33,$-6.15,0.0
2014-06-30,4.16,$-9.92,0.0
2014-03-31,4.13,$-10.19,0.0
2013-12-31,3.63,$-8.25,0.0
2013-09-30,3.76,$-3.20,0.0
