Galmed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Galmed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Galmed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Galmed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.29,,0.0
2024-09-30,6.86,$-21.26,0.0
2024-06-30,3.3,$-10.15,0.0
2024-03-31,4.16,$-18.59,0.0
2023-12-31,5.46,$-26.60,0.0
2023-09-30,7.44,$-39.07,0.0
2023-06-30,35.88,$-72.85,0.0
2023-03-31,76.77,$-105.44,0.0
2022-12-31,90.0,$-132.55,0.0
2022-09-30,56.0,$-158.36,0.0
2022-06-30,117.0,$-200.89,0.0
2022-03-31,286.2,$-208.37,0.0
2021-12-31,327.6,$-240.75,0.0
2021-09-30,502.2,$-252.50,0.0
2021-06-30,547.2,$-234.82,0.0
2021-03-31,617.4,$-238.15,0.0
2020-12-31,559.8,$-222.69,0.0
2020-09-30,635.4,$-190.84,0.0
2020-06-30,860.4,$-177.02,0.0
2020-03-31,622.8,$-150.84,0.0
2019-12-31,1040.4,$-127.43,0.0
2019-09-30,860.4,$-124.50,0.0
2019-06-30,1323.0,$-93.86,0.0
2019-03-31,1470.6,$-79.96,0.0
2018-12-31,1229.4,$-90.43,0.0
2018-09-30,2444.4,$-93.09,0.0
2018-06-30,2142.0,$-131.38,0.0
2018-03-31,1002.6,$-159.80,0.0
2017-12-31,1647.0,$-174.10,0.0
2017-09-30,1645.2,$-181.00,0.0
2017-06-30,1116.18,$-191.81,0.0
2017-03-31,880.2,$-199.33,0.0
2016-12-31,631.8,$-191.98,0.0
2016-09-30,799.2,$-186.73,0.0
2016-06-30,808.2,$-172.05,0.0
2016-03-31,887.4,$-153.44,0.0
2015-12-31,1369.8,$-139.98,0.0
2015-09-30,1337.4,$-178.36,0.0
2015-06-30,1810.8,$-141.59,0.0
