Xilio Therapeutics Price to Free Cash Flow Ratio Historical Data,Xilio Therapeutics Price to Free Cash Flow Ratio Historical Data,Xilio Therapeutics Price to Free Cash Flow Ratio Historical Data,Xilio Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.78,,0.0
2024-12-31,0.96,$-0.34,0.0
2024-09-30,0.79,$-0.56,0.0
2024-06-30,0.95,$-0.81,0.0
2024-03-31,1.08,$-1.96,0.0
2023-12-31,0.55,$-2.51,0.0
2023-09-30,2.11,$-2.71,0.0
2023-06-30,2.62,$-2.96,0.0
2023-03-31,3.17,$-2.99,0.0
2022-12-31,2.69,$-2.83,0.0
2022-09-30,2.91,$-16.75,0.0
