WidePoint Price to Free Cash Flow Ratio Historical Data,WidePoint Price to Free Cash Flow Ratio Historical Data,WidePoint Price to Free Cash Flow Ratio Historical Data,WidePoint Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.56,,0.0
2024-09-30,3.54,$-0.24,0.0
2024-06-30,4.19,$-0.37,0.0
2024-03-31,2.59,$0.10,26.54
2023-12-31,2.32,$-0.05,0.0
2023-09-30,1.72,$0.38,4.49
2023-06-30,1.86,$0.11,17.58
2023-03-31,1.81,$-0.23,0.0
2022-12-31,1.82,$0.30,5.98
2022-09-30,2.13,$-0.58,0.0
2022-06-30,2.39,$-0.02,0.0
2022-03-31,3.78,$-0.26,0.0
2021-12-31,3.93,$-0.43,0.0
2021-09-30,5.25,$0.19,28.32
2021-06-30,7.26,$0.31,23.17
2021-03-31,9.2,$0.33,27.85
2020-12-31,10.11,$0.61,16.63
2020-09-30,5.0,$0.62,8.07
2020-06-30,6.96,$0.36,19.29
2020-03-31,3.66,$0.67,5.42
2019-12-31,3.98,$0.64,6.26
2019-09-30,3.14,$0.42,7.44
2019-06-30,4.18,$0.06,71.58
2019-03-31,4.55,$-0.30,0.0
2018-12-31,4.17,$-0.32,0.0
2018-09-30,4.61,$-0.19,0.0
2018-06-30,5.5,$-0.00,0.0
2018-03-31,5.81,$0.05,119.06
2017-12-31,6.5,$-0.45,0.0
2017-09-30,6.5,$0.08,79.66
2017-06-30,4.6,$-0.27,0.0
2017-03-31,4.5,$0.26,16.99
2016-12-31,8.1,$0.25,31.81
2016-09-30,4.27,$-0.25,0.0
2016-06-30,5.9,$-0.06,0.0
2016-03-31,6.0,$-0.51,0.0
2015-12-31,6.95,$-0.43,0.0
2015-09-30,8.8,$-0.41,0.0
2015-06-30,16.7,$-0.48,0.0
2015-03-31,13.2,$-0.55,0.0
2014-12-31,13.8,$-0.41,0.0
2014-09-30,17.15,$-0.89,0.0
2014-06-30,17.6,$-0.68,0.0
2014-03-31,16.0,$-0.43,0.0
2013-12-31,16.4,$-0.26,0.0
2013-09-30,8.9,$0.17,51.99
2013-06-30,8.2,$0.52,15.78
2013-03-31,6.2,$0.28,21.98
2012-12-31,3.7,$0.09,42.77
2012-09-30,3.8,$0.21,18.14
2012-06-30,6.3,$-0.04,0.0
2012-03-31,9.3,$0.02,460.4
2011-12-31,6.88,$0.15,45.81
2011-09-30,7.4,$0.40,18.33
2011-06-30,8.4,$0.51,16.42
2011-03-31,12.7,$0.54,23.61
2010-12-31,13.4,$0.10,129.84
2010-09-30,11.2,$0.35,31.75
2010-06-30,8.3,$0.21,40.47
2010-03-31,7.5,$0.08,93.87
2009-12-31,7.5,$0.81,9.24
