Westwood Holdings Group Inc Price to Free Cash Flow Ratio Historical Data,Westwood Holdings Group Inc Price to Free Cash Flow Ratio Historical Data,Westwood Holdings Group Inc Price to Free Cash Flow Ratio Historical Data,Westwood Holdings Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.05,,6.5
2024-12-31,14.51,$2.47,5.88
2024-09-30,14.06,$1.99,7.08
2024-06-30,11.93,$1.75,6.83
2024-03-31,12.07,$1.21,9.94
2023-12-31,12.16,$-0.16,0.0
2023-09-30,9.69,$3.86,2.51
2023-06-30,11.66,$4.51,2.58
2023-03-31,10.42,$5.01,2.08
2022-12-31,10.23,$6.52,1.57
2022-09-30,8.74,$1.74,5.02
2022-06-30,12.38,$4.11,3.01
2022-03-31,13.61,$4.42,3.08
2021-12-31,14.92,$2.49,6.0
2021-09-30,16.58,$2.39,6.94
2021-06-30,17.05,$-4.09,0.0
2021-03-31,11.27,$-3.41,0.0
2020-12-31,11.24,$-1.22,0.0
2020-09-30,8.64,$-1.09,0.0
2020-06-30,12.21,$4.06,3.01
2020-03-31,14.19,$3.85,3.69
2019-12-31,22.52,$3.73,6.03
2019-09-30,20.54,$5.80,3.54
2019-06-30,25.46,$5.07,5.02
2019-03-31,24.9,$4.69,5.31
2018-12-31,23.55,$3.57,6.6
2018-09-30,35.16,$2.63,13.37
2018-06-30,39.98,$3.31,12.06
2018-03-31,37.5,$4.52,8.29
2017-12-31,43.42,$5.58,7.79
2017-09-30,43.68,$5.64,7.74
2017-06-30,36.42,$5.15,7.07
2017-03-31,33.93,$4.67,7.27
2016-12-31,37.68,$5.58,6.75
2016-09-30,33.03,$4.89,6.75
2016-06-30,31.86,$4.72,6.75
2016-03-31,35.72,$7.04,5.08
2015-12-31,31.41,$6.66,4.72
2015-09-30,32.41,$6.97,4.65
2015-06-30,35.18,$6.72,5.24
2015-03-31,35.3,$3.14,11.23
2014-12-31,35.89,$3.29,10.9
2014-09-30,32.64,$2.87,11.36
2014-06-30,34.31,$3.55,9.66
2014-03-31,35.55,$3.86,9.21
2013-12-31,34.85,$2.67,13.07
2013-09-30,26.83,$3.04,8.83
2013-06-30,23.78,$2.12,11.2
2013-03-31,24.39,$1.82,13.38
2012-12-31,22.24,$1.81,12.3
2012-09-30,21.0,$1.76,11.95
2012-06-30,19.86,$2.19,9.09
2012-03-31,20.43,$2.35,8.71
2011-12-31,19.1,$2.37,8.04
2011-09-30,17.87,$3.00,5.95
2011-06-30,19.49,$2.51,7.78
2011-03-31,20.39,$2.96,6.89
2010-12-31,19.86,$2.68,7.4
2010-09-30,16.66,$2.05,8.12
2010-06-30,17.15,$1.55,11.05
2010-03-31,17.79,$1.82,9.78
2009-12-31,17.28,$1.65,10.46
