"Five Point Holdings, LLC Price to Free Cash Flow Ratio Historical Data","Five Point Holdings, LLC Price to Free Cash Flow Ratio Historical Data","Five Point Holdings, LLC Price to Free Cash Flow Ratio Historical Data","Five Point Holdings, LLC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.6,,11.0
2024-12-31,3.78,$0.51,7.42
2024-09-30,4.15,$0.09,43.92
2024-06-30,2.93,$0.30,9.93
2024-03-31,3.13,$0.72,4.38
2023-12-31,3.07,$0.69,4.47
2023-09-30,2.97,$0.20,15.14
2023-06-30,2.89,$-0.21,0.0
2023-03-31,2.36,$-1.03,0.0
2022-12-31,2.33,$-1.28,0.0
2022-09-30,2.6,$-0.44,0.0
2022-06-30,3.91,$-0.46,0.0
2022-03-31,6.11,$-0.40,0.0
2021-12-31,6.54,$-0.37,0.0
2021-09-30,7.83,$-1.12,0.0
2021-06-30,8.08,$-0.67,0.0
2021-03-31,7.56,$-0.29,0.0
2020-12-31,5.46,$-0.54,0.0
2020-09-30,4.17,$0.17,25.24
2020-06-30,4.6,$-0.57,0.0
2020-03-31,5.07,$-1.27,0.0
2019-12-31,6.95,$-1.04,0.0
2019-09-30,7.5,$-2.47,0.0
2019-06-30,7.52,$-2.39,0.0
2019-03-31,7.21,$-2.44,0.0
2018-12-31,6.94,$-2.35,0.0
2018-09-30,9.41,$-1.69,0.0
2018-06-30,11.25,$-1.38,0.0
2018-03-31,14.26,$-0.57,0.0
