NetSol Technologies Price to Free Cash Flow Ratio Historical Data,NetSol Technologies Price to Free Cash Flow Ratio Historical Data,NetSol Technologies Price to Free Cash Flow Ratio Historical Data,NetSol Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.4,,11.28
2024-12-31,2.62,$0.21,12.31
2024-09-30,2.85,$0.59,4.86
2024-06-30,2.54,$0.23,11.08
2024-03-31,2.77,$-0.43,0.0
2023-12-31,2.2,$0.01,180.33
2023-09-30,1.81,$0.13,13.7
2023-06-30,2.36,$0.05,43.62
2023-03-31,2.64,$-0.20,0.0
2022-12-31,2.89,$0.44,6.6
2022-09-30,3.14,$0.43,7.37
2022-06-30,3.19,$0.07,44.73
2022-03-31,3.85,$0.79,4.87
2021-12-31,3.96,$-0.15,0.0
2021-09-30,4.58,$0.48,9.5
2021-06-30,4.71,$1.16,4.05
2021-03-31,3.93,$1.02,3.86
2020-12-31,3.8,$0.97,3.94
2020-09-30,2.93,$0.59,4.93
2020-06-30,2.7,$0.23,11.78
2020-03-31,2.5,$0.40,6.25
2019-12-31,4.0,$0.36,11.2
2019-09-30,5.64,$0.35,16.17
2019-06-30,5.59,$0.29,19.24
2019-03-31,6.51,$0.98,6.65
2018-12-31,6.15,$1.68,3.67
2018-09-30,6.6,$1.60,4.13
2018-06-30,5.55,$1.27,4.37
2018-03-31,4.6,$0.33,13.93
2017-12-31,4.71,$-0.23,0.0
2017-09-30,3.5,$-0.42,0.0
2017-06-30,3.95,$-0.09,0.0
2017-03-31,5.1,$-0.27,0.0
2016-12-31,5.2,$-0.26,0.0
2016-09-30,6.26,$0.23,27.3
2016-06-30,5.84,$-0.07,0.0
2016-03-31,6.98,$0.16,42.8
2015-12-31,7.76,$0.13,58.48
2015-09-30,5.02,$0.07,70.36
2015-06-30,5.15,$0.27,19.1
2015-03-31,5.77,$-0.00,0.0
2014-12-31,4.17,$0.12,34.92
2014-09-30,3.7,$0.42,8.89
2014-06-30,3.88,$0.61,6.41
2014-03-31,4.64,$0.87,5.33
2013-12-31,5.83,$0.60,9.8
2013-09-30,10.03,$0.44,22.74
2013-06-30,10.06,$0.60,16.66
2013-03-31,13.17,$0.63,20.82
2012-12-31,5.99,$1.06,5.67
2012-09-30,6.39,$0.81,7.85
2012-06-30,4.38,$0.52,8.43
2012-03-31,3.7,$1.09,3.41
2011-12-31,4.15,$0.69,6.06
2011-09-30,5.73,$1.13,5.09
2011-06-30,17.4,$1.04,16.74
2011-03-31,18.8,$1.16,16.21
2010-12-31,18.7,$1.22,15.38
2010-09-30,16.1,$1.30,12.37
2010-06-30,7.31,$1.67,4.37
2010-03-31,8.7,$1.05,8.28
2009-12-31,10.7,$0.73,14.74
