Healthcare Realty Trust Price to Free Cash Flow Ratio Historical Data,Healthcare Realty Trust Price to Free Cash Flow Ratio Historical Data,Healthcare Realty Trust Price to Free Cash Flow Ratio Historical Data,Healthcare Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.74,,3.55
2024-12-31,16.95,$4.71,3.6
2024-09-30,18.15,$4.24,4.28
2024-06-30,16.48,$3.52,4.68
2024-03-31,14.15,$2.75,5.15
2023-12-31,16.84,$3.04,5.54
2023-09-30,14.93,$4.17,3.58
2023-06-30,18.43,$5.64,3.27
2023-03-31,18.61,$4.67,3.98
2022-12-31,18.25,$4.22,4.33
2022-09-30,19.75,$2.01,9.84
2022-06-30,22.0,$-0.75,0.0
2022-03-31,24.71,$0.24,103.94
2021-12-31,26.07,$0.36,73.09
2021-09-30,23.16,$-0.19,0.0
2021-06-30,20.85,$0.79,26.47
2021-03-31,21.54,$0.48,44.85
2020-12-31,21.24,$0.58,36.67
2020-09-30,19.82,$-1.31,0.0
2020-06-30,19.98,$-1.05,0.0
2020-03-31,18.03,$-1.32,0.0
2019-12-31,22.49,$-1.43,0.0
2019-09-30,21.82,$1.20,18.14
2019-06-30,20.37,$2.17,9.4
2019-03-31,21.23,$2.56,8.31
2018-12-31,18.8,$2.61,7.21
2018-09-30,19.81,$1.74,11.37
2018-06-30,20.02,$1.21,16.5
2018-03-31,19.41,$-10.94,0.0
2017-12-31,22.05,$-11.12,0.0
2017-09-30,21.65,$-10.71,0.0
2017-06-30,22.37,$-12.99,0.0
2017-03-31,22.41,$-1.89,0.0
2016-12-31,20.74,$-2.89,0.0
2016-09-30,23.0,$-2.64,0.0
2016-06-30,22.6,$-1.16,0.0
2016-03-31,20.56,$-1.58,0.0
2015-12-31,18.65,$-0.65,0.0
2015-09-30,16.77,$-0.80,0.0
2015-06-30,16.19,$-1.42,0.0
2015-03-31,18.83,$-1.00,0.0
2014-12-31,18.21,$-0.73,0.0
2014-09-30,7.84,$-1.56,0.0
2014-06-30,8.14,$-2.15,0.0
2014-03-31,7.7,$-1.07,0.0
2013-12-31,6.65,$-1.90,0.0
2013-09-30,7.01,$-0.99,0.0
2013-06-30,7.38,$-0.16,0.0
2013-03-31,7.63,$-0.36,0.0
2012-12-31,6.35,$-1.47,0.0
2012-09-30,6.18,$-0.95,0.0
2012-06-30,6.18,$-0.80,0.0
2012-03-31,14.08,$-0.65,0.0
2011-12-31,11.73,$0.98,11.98
2011-09-30,10.45,$1.02,10.22
2011-06-30,12.57,$0.83,15.13
2011-03-31,13.64,$0.54,25.07
2010-12-31,12.54,$0.61,20.54
2010-09-30,13.66,0,0.0
2010-06-30,12.67,0,0.0
2010-03-31,13.25,0,0.0
2009-12-31,12.03,0,0.0
