Aramark Price to Free Cash Flow Ratio Historical Data,Aramark Price to Free Cash Flow Ratio Historical Data,Aramark Price to Free Cash Flow Ratio Historical Data,Aramark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.13,,22.8
2024-12-31,37.31,$1.50,24.92
2024-09-30,38.63,$1.21,31.83
2024-06-30,33.84,$0.95,35.71
2024-03-31,32.26,$0.19,170.68
2023-12-31,27.79,$0.33,83.62
2023-09-30,34.2,$0.56,61.44
2023-06-30,42.3,$-0.37,0.0
2023-03-31,35.08,$-0.22,0.0
2022-12-31,40.39,$0.17,234.66
2022-09-30,30.4,$0.65,46.79
2022-06-30,29.75,$-0.35,0.0
2022-03-31,36.41,$-0.33,0.0
2021-12-31,35.58,$-0.39,0.0
2021-09-30,31.62,$1.11,28.59
2021-06-30,35.73,$0.54,66.7
2021-03-31,36.13,$0.74,48.7
2020-12-31,36.69,$0.14,266.29
2020-09-30,25.14,$-0.75,0.0
2020-06-30,21.35,$1.14,18.71
2020-03-31,18.81,$1.34,14.06
2019-12-31,40.78,$1.64,24.92
2019-09-30,40.85,$1.98,20.63
2019-06-30,33.7,$2.34,14.4
2019-03-31,27.52,$2.06,13.39
2018-12-31,26.88,$2.16,12.43
2018-09-30,39.8,$1.71,23.25
2018-06-30,34.24,$0.46,74.41
2018-03-31,36.41,$0.32,114.49
2017-12-31,39.23,$0.88,44.51
2017-09-30,37.18,$2.06,18.02
2017-06-30,37.42,$1.71,21.86
2017-03-31,33.58,$2.33,14.41
2016-12-31,32.43,$2.06,15.76
2016-09-30,34.43,$1.53,22.45
2016-06-30,30.18,$2.28,13.22
2016-03-31,29.82,$1.85,16.1
2015-12-31,28.95,$1.67,17.32
2015-09-30,26.53,$1.20,22.04
2015-06-30,27.65,$0.08,335.94
2015-03-31,28.16,$0.10,273.93
2014-12-31,27.66,$-0.35,0.0
2014-09-30,23.28,$-0.50,0.0
