Society Pass Price to Free Cash Flow Ratio Historical Data,Society Pass Price to Free Cash Flow Ratio Historical Data,Society Pass Price to Free Cash Flow Ratio Historical Data,Society Pass Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.17,,0.0
2024-09-30,0.92,$-2.46,0.0
2024-06-30,1.33,$-4.73,0.0
2024-03-31,0.16,$-5.99,0.0
2023-12-31,0.3,$-7.31,0.0
2023-09-30,0.38,$-7.77,0.0
2023-06-30,0.51,$-9.62,0.0
2023-03-31,1.02,$-9.77,0.0
2022-12-31,0.99,$-9.22,0.0
2022-09-30,1.56,$-23.96,0.0
