Geospace Technologies Price to Free Cash Flow Ratio Historical Data,Geospace Technologies Price to Free Cash Flow Ratio Historical Data,Geospace Technologies Price to Free Cash Flow Ratio Historical Data,Geospace Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.46,,0.0
2024-12-31,10.02,$-0.34,0.0
2024-09-30,10.34,$0.81,12.69
2024-06-30,8.98,$1.42,6.33
2024-03-31,13.19,$2.14,6.16
2023-12-31,12.96,$1.68,7.73
2023-09-30,12.95,$1.33,9.75
2023-06-30,7.77,$1.41,5.52
2023-03-31,7.05,$0.92,7.67
2022-12-31,4.22,$-0.13,0.0
2022-09-30,4.41,$-0.34,0.0
2022-06-30,4.74,$-0.98,0.0
2022-03-31,5.75,$-1.24,0.0
2021-12-31,6.69,$-0.83,0.0
2021-09-30,9.55,$-0.14,0.0
2021-06-30,8.09,$0.35,23.44
2021-03-31,9.12,$1.36,6.69
2020-12-31,8.56,$1.84,4.65
2020-09-30,6.18,$1.04,5.94
2020-06-30,7.52,$0.83,9.01
2020-03-31,6.4,$0.39,16.39
2019-12-31,16.77,$-1.28,0.0
2019-09-30,15.37,$-1.28,0.0
2019-06-30,15.11,$-1.34,0.0
2019-03-31,12.94,$-1.53,0.0
2018-12-31,10.31,$-0.93,0.0
2018-09-30,13.7,$-0.64,0.0
2018-06-30,14.06,$-1.00,0.0
2018-03-31,9.87,$-0.55,0.0
2017-12-31,12.97,$0.64,20.17
2017-09-30,17.82,$1.02,17.54
2017-06-30,13.83,$1.11,12.47
2017-03-31,16.23,$0.33,48.51
2016-12-31,20.36,$0.04,462.73
2016-09-30,19.48,$-0.19,0.0
2016-06-30,16.37,$-0.52,0.0
2016-03-31,12.34,$0.02,663.44
2015-12-31,14.07,$-1.00,0.0
2015-09-30,13.81,$-1.02,0.0
2015-06-30,23.05,$-1.02,0.0
2015-03-31,16.51,$-0.10,0.0
2014-12-31,26.5,$0.42,63.31
2014-09-30,35.15,$3.89,9.04
2014-06-30,55.08,$3.57,15.44
2014-03-31,66.17,$1.51,43.96
2013-12-31,94.64,$-1.87,0.0
2013-09-30,84.29,$-5.67,0.0
2013-06-30,69.08,$-4.80,0.0
2013-03-31,107.92,$-2.42,0.0
2012-12-31,88.87,$1.38,64.43
2012-09-30,61.21,$2.47,24.79
2012-06-30,45.0,$1.48,30.44
2012-03-31,52.67,$1.40,37.58
2011-12-31,38.67,$0.10,376.48
2011-09-30,28.15,$0.07,388.74
2011-06-30,50.0,$1.54,32.53
2011-03-31,49.29,$0.54,91.16
2010-12-31,49.56,$1.98,25.04
2010-09-30,28.94,$1.93,14.99
2010-06-30,24.24,$1.81,13.36
2010-03-31,23.91,$2.19,10.89
2009-12-31,21.45,$1.71,12.54
