Blink Charging Price to Free Cash Flow Ratio Historical Data,Blink Charging Price to Free Cash Flow Ratio Historical Data,Blink Charging Price to Free Cash Flow Ratio Historical Data,Blink Charging Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.0,,0.0
2024-09-30,1.72,$-0.80,0.0
2024-06-30,2.74,$-0.86,0.0
2024-03-31,3.01,$-1.45,0.0
2023-12-31,3.39,$-1.67,0.0
2023-09-30,3.06,$-1.99,0.0
2023-06-30,5.99,$-2.25,0.0
2023-03-31,8.65,$-2.04,0.0
2022-12-31,10.97,$-1.87,0.0
2022-09-30,17.72,$-1.50,0.0
2022-06-30,16.53,$-1.29,0.0
2022-03-31,26.46,$-1.14,0.0
2021-12-31,26.51,$-1.14,0.0
2021-09-30,28.61,$-1.19,0.0
2021-06-30,41.17,$-1.06,0.0
2021-03-31,41.1,$-0.85,0.0
2020-12-31,42.75,$-0.69,0.0
2020-09-30,10.31,$-0.49,0.0
2020-06-30,5.68,$-0.48,0.0
2020-03-31,1.73,$-0.46,0.0
2019-12-31,1.86,$-0.43,0.0
2019-09-30,2.6,$-0.53,0.0
2019-06-30,2.68,$-0.52,0.0
2019-03-31,3.13,$-0.20,0.0
2018-12-31,1.72,$-0.66,0.0
